text,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment
excellent service provider package delivered within a day of placing order,2,2,4,fallback_support,2
already best,2,2,4,fallback_support,2
delivery delay again,1,0,0,delay,0
no issues during delivery,1,0,4,fallback_support,0
delivery staff did not return balance amount,0,0,7,refund,0
rude delivery guy,0,0,3,behaviour,0
top class service very polite behaviour delivery executive very knowledgeable highly satisfy with his service,2,2,3,behaviour,2
partial order received,0,0,4,fallback_support,1
received earlier than expected,1,1,4,fallback_support,1
keep moving forward,1,1,4,fallback_support,1
miss my rosemary water,1,1,4,fallback_support,1
delivery arrived without call,1,1,4,support,1
courier not received very bad,0,0,2,damage_lost,0
exact delivery time should be informed,1,1,4,fallback_support,1
very fast good service,2,2,4,fallback_support,2
ok,1,1,4,fallback_support,1
delivery charge taken despite free delivery,1,1,4,fallback_support,1
delivery smooth experience,2,2,4,fallback_support,2
no need cheaters parcel take for delivery ensure check before accept,1,1,4,fallback_support,1
average service,1,1,4,fallback_support,1
very good experience overall,2,2,4,fallback_support,2
collect my parcel at office,1,1,4,fallback_support,1
delivery person polite professional,1,1,4,fallback_support,2
not delivering at right place but marked delivered,0,0,4,fallback_support,1
service poor,0,0,4,fallback_support,0
delivery confirmation sent without actual delivery,0,0,4,fallback_support,1
delivery agent asked for OTP but did not hand over parcel,0,0,4,fallback_support,1
shipment not delivered by delivery staff,0,0,4,fallback_support,0
rude behaviour of delivery person abusive foul language use very unpleasant experience,0,0,3,behaviour,0
delivery boy rough language,1,1,4,fallback_support,1
superb fast delivery,2,2,4,fallback_support,2
best service,2,2,4,fallback_support,2
wrong item delivered customer deceived,0,0,4,fallback_support,0
yes before opening account branch staff promised visit but never came online process was smooth,1,2,4,fallback_support,2
already good,2,2,4,fallback_support,2
bad experience,0,0,4,fallback_support,0
very bad experience from blue dart,0,0,4,fallback_support,0
blue dart delayed delivery despite parcel reaching hub,0,0,0,delay,0
medicine delivery delayed false excuse,0,0,0,delay,0
tracking good delivery speed needs improvement,1,2,5,tracking,1
delivery boy harassed customer,1,1,4,fallback_support,0
delivery agent was rude aggressive and ill mannered very disappointed,0,0,3,behaviour,0
delivery boy refused home delivery forced hub pickup,0,0,4,fallback_support,1
parcel not delivered yet,0,0,0,delay,0
what we order it not come totally different it come plss take this order we want other item,0,0,4,fallback_support,1
nice product,2,2,4,fallback_support,2
very poor delivery service,0,0,4,fallback_support,0
delivery nice express good delivery,2,2,4,fallback_support,2
please give tracking update in arattai app,1,1,5,tracking,1
delivery person not confirming recipient,1,1,4,fallback_support,1
provide delivery agent contact number,1,1,4,support,1
do not receive yet,1,1,4,fallback_support,1
delivery person honest but customer absent,1,1,4,fallback_support,1
bad service no home delivery credit card delay,0,0,0,delay,0
please mention expected delivery time in message,1,1,4,fallback_support,1
parcel undelivered due to false reason premise locked,0,0,4,fallback_support,1
very long time delivery bad,0,0,4,fallback_support,0
get my parcel on time extremely happy,2,2,4,fallback_support,2
delivery partner overloaded bike issue,1,0,4,fallback_support,0
flat number missing delivered at gate,1,0,4,fallback_support,0
great quick delivery with minimal calls,2,2,4,support,2
achcha,1,1,4,fallback_support,1
item received broken,1,1,2,damage_lost,0
delivery delayed no response after first call service bad,1,0,0,delay,0
reduce minimum balance requirement,1,1,4,fallback_support,1
behaviour not good and refused to wait for change,0,0,3,behaviour,2
product unsafe not working refund or exchange,1,0,7,refund,1
product color different from what was shown,0,0,4,fallback_support,1
received different sets instead of same color sets,1,1,4,fallback_support,1
delivery person courteous,2,2,4,fallback_support,2
fake jewellery wrong product delivered,0,0,4,fallback_support,0
receive in time,2,2,4,fallback_support,2
deliver wrong product,0,0,4,fallback_support,0
poor packaging and damaged handling,0,0,2,damage_lost,0
delivery staff polite timely,1,1,4,fallback_support,2
good timely service,2,2,4,fallback_support,2
packaging was proper,1,1,4,fallback_support,1
had to go for pickup no one answered calls at godown very upsetting,0,0,4,support,1
giod,1,1,4,fallback_support,1
delivery agent was rude and unreachable during duty hours,0,0,3,behaviour,0
extra charges taken very bad service,0,0,6,pricing,0
parcel thrown inside gate unacceptable behavior,0,0,3,behaviour,1
delivery on time with proper tracking update,2,2,5,tracking,1
it good,2,2,4,fallback_support,2
delivery person damaged doorbell by continuous pressing,0,0,2,damage_lost,0
shipment falsely marked undelivered twice,0,0,4,fallback_support,1
parcel not received very sad,0,0,2,damage_lost,0
delivery agent phone numbers not reachable,1,1,4,fallback_support,1
get wrong order,0,0,4,fallback_support,0
replacement required wrong product,1,0,7,refund,0
delivery process very bad forced to collect from office,0,0,4,fallback_support,0
perform more expectation,1,1,4,fallback_support,1
refused doorstep delivery asked to cancel,1,1,4,fallback_support,1
delivery very fast satisfied,2,2,4,fallback_support,2
delivery boy polite and helpful,2,2,4,fallback_support,2
order delayed more than a day repeatedly,1,0,0,delay,0
empty box received product missing,1,0,2,damage_lost,0
wrong parcel received,1,0,4,fallback_support,0
early delivery before expected,2,2,4,fallback_support,2
everything good keep it up,2,2,4,fallback_support,2
late delivery issue,0,0,0,delay,0
fraud waste product delivered refund money,0,0,7,refund,0
very very warst quality damage,0,0,2,damage_lost,0
unknown person received parcel,1,1,1,wrong_delivery,1
thanks for call,1,2,4,support,2
no information about delivery status,1,1,5,soft_tracking,1
wrong consignee remark incorrect attempt update,0,0,4,fallback_support,0
delivery boy refused address pickup office,0,0,4,fallback_support,1
If you call I will tell you 6205637767,1,1,4,support,1
already make order delay without contact customer mark that customer not available,0,0,0,delay,0
wrong and missing products received,0,0,4,fallback_support,0
delivery guy did not call before delivery,0,0,3,behaviour,1
one of the best services,2,2,4,fallback_support,2
good,1,2,4,fallback_support,2
excellent service by delivery staff,2,2,4,fallback_support,2
wrong jersey delivered,0,0,4,fallback_support,0
delivery agent disrespectful tone,0,0,4,fallback_support,1
delivery refused home delivery forced hub pickup,0,0,4,fallback_support,1
lovely delivery person,2,2,4,fallback_support,2
it ok,1,1,4,fallback_support,1
on time delivery,2,2,4,fallback_support,2
agent did not listen properly during validation and was in a hurry,0,0,4,fallback_support,1
delivery person delivered to wrong house and asked me to collect later,0,0,1,wrong_delivery,0
delivery boy misbehaved,1,1,3,behaviour,1
always outstanding,2,2,4,fallback_support,2
awesome delivery by bluedart thank you,2,2,4,fallback_support,2
COD change required suggestion,1,1,4,fallback_support,1
different shade received,1,1,4,fallback_support,1
additionally charge extra,0,0,4,fallback_support,1
missing item in parcel box,0,0,2,damage_lost,0
good no,1,2,4,fallback_support,2
no response from delivery boy,0,0,4,support,0
polite well behaved delivery person,1,1,4,fallback_support,2
delivery agent deny deliver at home,1,1,4,fallback_support,1
please provide delivery executive contact number,1,1,4,support,1
day before delivery thank you,2,2,4,fallback_support,2
call before delivery attempt,1,1,4,support,1
delivery agent took otp but did not deliver,0,0,4,fallback_support,1
very poor delivery not delivered on time,0,0,0,delay,0
not delivere time time fasle commitment,1,1,4,fallback_support,1
nothing report,1,1,4,fallback_support,1
nobody cared about customer time extremely pathetic experience,0,0,4,fallback_support,1
from last three day your delivery agent reschedule delivery date even without ask me,1,1,4,fallback_support,1
good response,2,2,4,fallback_support,2
please return my order,1,1,7,refund,1
nice packaging and good delivery service,2,2,4,fallback_support,2
pathetic service had to collect parcel from outlet,0,0,4,fallback_support,1
saree damage,1,0,2,damage_lost,1
delivery very quick and smooth,2,2,4,fallback_support,2
delivery person did not call and product not received,0,0,2,damage_lost,0
product damaged on opening please take back,0,0,2,damage_lost,0
delivery took whole day,1,1,4,fallback_support,1
shipment prompt but one item miss in parcel,0,0,4,fallback_support,2
goo,1,1,4,fallback_support,1
wrong product receive,0,0,4,fallback_support,0
rohit yadav,1,1,4,fallback_support,1
they did not call and handed parcel to unknown person,0,0,3,behaviour,1
delivery executive behaviour was pathetic and rude,0,0,3,behaviour,0
vad quality,1,1,4,fallback_support,1
delivery boy agent good behaviour respectful blue dart service,2,2,3,behaviour,2
my courier not delivered at all,0,0,4,fallback_support,0
mobile number wrongly updated in system,1,0,4,fallback_support,0
thank you for great service example,2,2,4,fallback_support,2
learning how to use new card benefits,1,1,4,fallback_support,1
not receive my debit card yet,0,0,4,fallback_support,1
delivery update only,1,1,4,fallback_support,1
delivery staff rude payment issue humiliating behaviour,0,0,6,pricing,0
fraud courier payment concern raised,1,1,4,fallback_support,1
didnt receive my order but status shows delivered,0,0,4,fallback_support,1
have go take from hub,1,1,4,fallback_support,1
duplicate cheap product delivered fraud,0,0,4,fallback_support,1
delivery executive did not come home had to go office to collect card,0,0,4,fallback_support,1
did not receive package,0,0,2,damage_lost,0
pathetic rural delivery experience repeated false updates,0,0,4,fallback_support,1
quality poor box already opened,1,1,4,fallback_support,0
without call delivery boy humble,1,1,4,support,1
satisfied,1,1,4,fallback_support,2
merchant fraud sent wrong item affecting bluedart reputation,1,0,4,fallback_support,0
bahut jyada lal ho gya hai purana stock pack karke bhej diya hai or isme return ka option nahi hai,1,1,7,refund,1
courier person respectful,1,1,4,fallback_support,1
shipment received broken,0,0,2,damage_lost,0
amazing delivery person,1,1,4,fallback_support,1
increase service in rural punjab,1,1,4,fallback_support,1
worst service ever experienced,0,0,4,fallback_support,0
wrong product totally delivered,0,0,4,fallback_support,0
delivery on time,1,1,4,fallback_support,2
fast good service,1,2,4,fallback_support,2
delivery person very professional,2,2,4,fallback_support,2
delivery delay than given time,0,0,0,delay,0
avoid weekend deliveries suggestion,1,1,4,fallback_support,1
unknown receiver name shown,1,1,4,fallback_support,1
delivery person was very rude argued at doorstep,0,0,3,behaviour,0
delivery agent rude location handling,0,0,3,behaviour,0
fraud happened with me,0,0,4,fallback_support,1
scammed wrong product delivered refund needed,0,0,7,refund,0
blue dart known for safe quick delivery delivery staff trained and responsive,2,2,4,fallback_support,2
pathetic repeated false delivery attempts,0,0,4,fallback_support,1
delivery staff cooperative behaviour,1,1,3,behaviour,1
improve technology based services,2,2,4,fallback_support,2
good work very supportive team,2,2,4,support,2
branch staff quality needs improvement,1,1,4,fallback_support,1
very good service polite delivery person,2,2,4,fallback_support,2
good service good bihevear,2,2,4,fallback_support,2
parcel leave with gate man in different block of this complex it should deliver my flat,0,0,4,fallback_support,1
unknown person received parcel,0,0,1,wrong_delivery,0
toxic delivery behaviour forced pickup threats,0,0,3,behaviour,1
very poor service,0,0,4,fallback_support,0
delivery not done please contact me,1,1,4,support,1
wrong color received want exchange,1,0,7,refund,0
only partial order received,1,1,4,fallback_support,1
best,2,2,4,fallback_support,2
amaze person,1,1,4,fallback_support,1
mixed feedback account opening delayed,1,0,0,delay,0
it take almost two week deliver my order,0,0,4,fallback_support,1
bad perfume itna mehnga perfume isse acha fogg hai,1,0,4,fallback_support,0
received bad product,0,0,4,fallback_support,0
excellent fast delivery within one day,2,2,4,fallback_support,2
fraud different product received,0,0,4,fallback_support,1
since last few month,1,1,4,fallback_support,1
order mismatch issue,0,0,4,fallback_support,0
delivery made in my absence,1,1,4,fallback_support,1
delivery boy not doorstep village shop delivery bank card loss bad service,0,0,4,fallback_support,0
easy delivery,1,1,4,fallback_support,1
wanted to cancel order but delivery person did not contact and delivered to security guard,0,0,3,behaviour,1
promise kept,1,1,4,fallback_support,1
ahead of time delivery,2,2,4,fallback_support,2
irritating service order stuck in city no help,0,0,4,fallback_support,0
too much delay,0,0,0,delay,0
best team,2,2,4,fallback_support,2
delivered on time but no return option and customer not contacted when call failed,0,0,7,refund,1
received at location,1,1,4,fallback_support,1
delivered one day early very happy,2,2,4,fallback_support,2
yas,1,1,4,fallback_support,1
out of station reason falsely marked,0,0,4,fallback_support,1
didnt receive my parcel yet,0,0,4,fallback_support,1
u do excellent job keep it up,2,2,4,fallback_support,2
didnt receive my package,0,0,4,fallback_support,1
packaging open internal product packaging also open,1,1,4,fallback_support,1
fake refused status forced pickup,0,0,4,fallback_support,0
packaging completely different leaking product,1,1,2,damage_lost,1
provide promised delivery timeline,1,1,4,fallback_support,1
no complaints,1,1,4,support,0
prompt polite speedy delivery,2,2,4,fallback_support,2
not good delivery agent call missed marked undelivered had to collect from office,0,0,4,support,2
documents not received parcel missing,0,0,2,damage_lost,0
product fake,0,0,4,fallback_support,0
service not well,0,0,4,fallback_support,1
fake delivery update by agent,1,1,4,fallback_support,0
nice delivery,2,2,4,fallback_support,2
delivery boy very polite and on time,2,2,4,fallback_support,2
processing charge query,1,1,4,support,1
not received parcel yet,1,1,2,damage_lost,0
no word,1,1,4,fallback_support,1
bahut bekar delivery din lag gaye,1,1,4,fallback_support,1
parcel still not received,0,0,2,damage_lost,0
package damaged externally improve delivery quality,1,0,2,damage_lost,0
did not receive my parcel,0,0,2,damage_lost,0
really fast delivery,2,2,4,fallback_support,2
dint receive it,1,1,4,fallback_support,1
courier not deliver,0,0,4,fallback_support,1
most unreliable frequent delays,0,0,0,delay,0
tooo late delivery joke,0,0,0,delay,0
no one at home who accepted delivery,1,1,4,fallback_support,1
very satisfied cooperative service,2,2,4,fallback_support,2
expected delivery date not met,1,1,4,fallback_support,1
late delivery unacceptable,0,0,0,delay,0
scam product no primer received only mascara,0,0,4,fallback_support,1
Good working bank ,2,2,4,fallback_support,2
fake product delivered,1,1,4,fallback_support,0
should notify customer in every hub parcel reach,1,1,4,fallback_support,1
best courier service,2,2,4,fallback_support,2
delivery not attempted but resolved after complaint very satisfied,2,2,0,delay,0
wrong delivery updates should not be done,1,0,4,fallback_support,0
excellent service by bluedart staff,2,2,4,fallback_support,2
delivery agent did not call me,0,0,3,behaviour,1
status shows delivered but courier not received,0,0,2,damage_lost,0
trash found inside parcel box,0,0,4,fallback_support,1
delivery boy humble and polite,2,2,4,fallback_support,2
give different item support not helpful,1,1,4,support,0
good delivery,2,2,4,fallback_support,2
very late delivery with false updates,0,0,0,delay,0
please call again,1,1,4,support,1
very nice helpful delivery staff,2,2,4,fallback_support,2
delivery partner inappropriate behavior at window,1,1,3,behaviour,1
already served,1,1,4,fallback_support,1
delivery refused had to go 3km away,0,0,4,fallback_support,1
they raised failed delivery without calling,0,0,4,support,1
delivery boy refused doorstep delivery and behaved very badly,0,0,4,fallback_support,0
not deliver at my address ask come nearby,0,0,4,fallback_support,1
delivery staff talked rudely,0,0,3,behaviour,0
delivery delayed birthday gift impacted,1,0,0,delay,0
want to return parcel received wrong item,0,0,7,refund,0
not receive order pankaj not priya waiting more than week,0,0,4,fallback_support,1
delivery partner did not call and product not received,0,0,2,damage_lost,0
return option missing after order,1,0,7,refund,0
this very poor irresponsible service receive my courier after fifteen day,0,0,4,fallback_support,0
appreciate effort despite delay,2,0,0,delay,0
delivery team updated status without calling unacceptable,1,1,4,support,1
team delivered correct product to address appreciate effort,2,2,4,fallback_support,2
need return item,1,1,7,refund,1
bad experience with delivery vendor,0,0,4,fallback_support,0
good but not up to mark,1,2,4,fallback_support,2
parcel not delivered,0,0,4,fallback_support,0
she deliver at security gate,1,1,4,fallback_support,1
very poor service expected delivery by 1st oct fake update customer not available caused penalty due to delay,0,0,0,delay,0
severely damaged packaging contents spilled,0,0,2,damage_lost,0
try deliver same date when delivery status show in order,1,1,4,fallback_support,1
prompt delivery even at different address,2,2,4,fallback_support,2
defective product want return,1,1,7,refund,1
not applicable,0,0,4,fallback_support,1
delivery boy lied about attempt,0,0,4,fallback_support,1
product quality not good,0,0,4,fallback_support,2
fast delivery neutral experience,1,1,4,fallback_support,2
earbuds box scratched poor product quality,0,0,4,fallback_support,0
overselling concerns,1,1,4,fallback_support,1
good performance delivery team,2,2,4,fallback_support,2
very bad service without call and repeated delays,0,0,0,delay,0
verification required,1,1,4,fallback_support,1
order marked delivered but not received,1,1,2,damage_lost,0
staff behavior not good,0,0,3,behaviour,2
bad service coordination by logistics partner,0,0,4,fallback_support,0
poor performance failed to deliver on time and place,0,0,4,fallback_support,0
collected parcel from office no home delivery,0,0,4,fallback_support,1
no call from delivery agent forced office pickup bad service,0,0,3,behaviour,0
superb service by delivery personnel,2,2,4,fallback_support,2
wrong receiver name unprofessional,0,0,3,behaviour,0
did not get ordered book want return,0,0,7,refund,0
abc,1,1,4,fallback_support,1
wrong fake product dilevered,0,0,4,fallback_support,0
delivery details required,1,1,4,fallback_support,1
video kyc smooth secure delivery with minimal id sharing,2,2,4,fallback_support,2
online kyc process needs improvement,1,1,4,fallback_support,1
ok fragile items should not be delivered on bike,1,1,4,fallback_support,1
delivery person misled saying he arrived waited long very bad experience,0,0,4,fallback_support,0
fraud by company,1,1,4,fallback_support,1
it is not my order,0,0,1,wrong_delivery,0
passbook printing facility required at branch,1,1,4,fallback_support,1
delivery always reschedule mark consignee not available,1,1,4,fallback_support,1
continue with same spirit,1,1,4,fallback_support,1
extremely poor service courier did not deliver card at office address official complaint raised,0,0,4,support,0
wrong item delivered,1,0,4,fallback_support,0
product different from video shown,1,1,4,fallback_support,1
who abishek,1,1,4,fallback_support,1
video kyc interrupted multiple times,1,1,4,fallback_support,1
item damaged,0,0,2,damage_lost,0
delivery executive missed call no follow up,0,0,4,support,1
bad service,0,0,4,fallback_support,0
service not liked,1,1,4,fallback_support,1
wrong flip cover delivered instead of ordered product,0,0,4,fallback_support,0
prompt delivery without unnecessary calls,1,1,4,support,2
parcel delivered to wrong floor wrong person,0,0,1,wrong_delivery,0
delivery person didnt call held consignment,0,0,5,tracking,1
it is ok,1,1,4,fallback_support,1
parcel delayed despite multiple complaints,0,0,0,delay,0
delivery executive lied,0,0,4,fallback_support,1
not delivered,0,0,4,fallback_support,0
doorstep delivery no unnecessary calls satisfied,2,2,4,support,2
forced market pickup not doorstep delivery risky for bank documents,1,1,4,fallback_support,1
item not deliver,1,1,4,fallback_support,1
order delayed,0,0,0,delay,0
delivery agent called and delivered to office address,1,1,4,support,1
love product quality excellent,2,2,4,fallback_support,2
delivery person talked rudely no manners during delivery,0,0,3,behaviour,0
okay,1,1,4,fallback_support,1
delivery staff behaviour was good,2,2,3,behaviour,2
thank you service appreciated,2,2,4,fallback_support,2
quick service,2,2,4,fallback_support,2
credit card features miscommunicated,1,1,4,fallback_support,1
bad service received,0,0,4,fallback_support,0
really appreciate delivery partner patience dedication,2,2,4,fallback_support,2
item not delivered to me,0,0,4,fallback_support,0
not time delivery,1,1,4,fallback_support,1
order received safely,2,2,4,fallback_support,2
behaviour not good,0,0,3,behaviour,2
did not like product quality,0,0,4,fallback_support,1
bad experience with delivery staff cheap service,0,0,4,fallback_support,0
delivery partner demanded extra charges to deliver at my address,0,0,6,pricing,1
humble excellent service,2,2,4,fallback_support,2
size not perfect,1,2,4,fallback_support,2
best agent,1,1,4,fallback_support,1
not received any courier,0,0,2,damage_lost,0
Not proper service,0,0,4,fallback_support,1
super fast service,2,2,4,fallback_support,2
dont receive anything,1,1,4,fallback_support,1
share delivery date time in advance,1,1,4,fallback_support,1
ruthless aggressive delivery boy,0,0,4,fallback_support,1
want return my order,1,1,7,refund,1
poor internal team coordination,1,1,4,fallback_support,0
please call before delivery otherwise service superb,2,2,4,support,2
zero balance account misrepresented minimum balance demanded scam,0,0,4,fallback_support,1
good person delivery staff,2,2,4,fallback_support,2
item damaged please return this,0,0,2,damage_lost,0
no home delivery available,1,1,4,fallback_support,1
bad courier experience lifetime worst,1,0,4,fallback_support,0
delivery agent rude communication,0,0,3,behaviour,0
defective item,1,1,4,fallback_support,1
Everything looks good but no email transaction alerts received,2,2,4,fallback_support,2
delivery person lacks customer behaviour will not recommend bluedart,0,0,3,behaviour,1
no call received,1,1,3,behaviour,1
order delayed had to collect myself,0,0,0,delay,0
same day delivery started by bluedart great service,2,2,4,fallback_support,2
easy account opening within 2 minutes,2,2,4,fallback_support,2
order arrived damaged,1,0,2,damage_lost,0
koi deliver karne aaya hi tha,1,1,4,fallback_support,1
delivery staff rude attitude,0,0,3,behaviour,0
delivery agent did not call status shows delivered,0,0,3,behaviour,1
exllent,1,1,4,fallback_support,1
order not same,0,0,4,fallback_support,1
wrong item received need details,1,0,4,fallback_support,0
like the service,2,2,4,fallback_support,2
delivery person was rude and misbehaved on calls,0,0,3,behaviour,0
poor internal team,1,1,4,fallback_support,0
delivery boy behaviour very bad,0,0,3,behaviour,0
did not receive product no call from executive,0,0,2,damage_lost,0
delivery boy polite redelivered next day,2,2,4,fallback_support,2
so much delay not deliver my home do multiple follow up,0,0,0,delay,0
very good delivery on time polite staff,2,2,4,fallback_support,2
wrong system update no courier received,0,0,4,fallback_support,0
single item received instead of full order,1,1,4,fallback_support,1
delivery boy behaviour not good,0,0,3,behaviour,2
package damaged despite fragile sticker,1,0,2,damage_lost,0
delivery agent did not come for delivery,1,1,4,fallback_support,1
swift delivery,1,1,4,fallback_support,1
open package delivery would good,1,2,4,fallback_support,2
last time had a bad experience,0,0,4,fallback_support,0
it day late from estimate delivery,1,0,0,delay,0
positive experience respectful delivery boy,2,2,4,fallback_support,2
delivery person reached my home and delivered successfully very good service,2,2,4,fallback_support,2
food,1,1,4,fallback_support,1
product not received yet,1,1,2,damage_lost,0
delivery person didnt visit house forced outlet pickup,1,1,4,fallback_support,1
hamara company hai ki bar paisa liya jata hai,1,1,4,fallback_support,1
out for delivery in morning received after evening,1,1,4,fallback_support,1
no requirement excellent service,2,2,4,fallback_support,2
delivery boy poor behaviour,0,0,3,behaviour,0
very good experience,2,2,4,fallback_support,2
Reduce atiny Amount of ROI,1,1,4,fallback_support,1
return requested wrong product delivered,1,0,7,refund,0
tampered packaging wrong item and unreachable contact numbers,0,0,2,damage_lost,0
want cancel order,1,1,4,fallback_support,1
staff very helpful,2,2,4,fallback_support,2
reduce delivery charge request,1,1,4,fallback_support,1
very good service appreciate thanks,2,2,4,fallback_support,2
well service but nothing special,1,1,4,fallback_support,1
parcel not received without handover,0,0,2,damage_lost,0
delivery not attempted had to go office,0,0,0,delay,0
fail deliver parcel irresponsible had to reach depo,0,0,4,fallback_support,1
delivery not attempted had to collect from office staff rude,0,0,0,delay,0
impressed,1,1,4,fallback_support,1
great delivery representative,2,2,4,fallback_support,2
disappointedworst servicewouldnt recommend anyone n if someone tell or ask use bluedart surely make assure that he also doesnt use bluedart courier in his whole life,0,0,4,fallback_support,0
delivery executive insisted customer come downstairs refused doorstep delivery,0,0,4,fallback_support,1
parcel delivery week late,1,0,0,delay,0
very fast on time delivery,2,2,4,fallback_support,2
jst leave it in door,1,1,4,fallback_support,1
it take more than minute after approval of entry campus deliver package package deliver with out collect otp otp send me after delivery of package,1,1,4,fallback_support,1
improve delivery timing,1,1,4,fallback_support,1
well,1,1,4,fallback_support,1
khagaul centre deliberately dont deliver prepaid material false customer not available remark,0,0,4,fallback_support,1
worst experience extremely poor service shipment not delivered on time no support forced to collect from far location,0,0,0,delay,0
parcel deliver wrong address in building,0,0,1,wrong_delivery,0
not deliver,0,0,4,fallback_support,1
avoid bluedart poor service experience,0,0,4,fallback_support,0
broken bottle received,1,1,2,damage_lost,0
delivery agent marked self delivered,1,1,4,fallback_support,1
parcel delivered to someone else,1,1,4,fallback_support,1
order marked delivered but partially missing,0,0,4,fallback_support,0
wrong package received from seller,0,0,4,fallback_support,0
since you already customer connect ensure notify him on wa or through call so that he she would availablegood receive my both courier today itself,0,0,4,support,2
nice product very good,2,2,4,fallback_support,2
product damage packing open item total damaged,1,0,2,damage_lost,0
polite interaction,1,1,4,fallback_support,2
