text,sentiment,customer_intent,primary_aspect,aspect_flag,aspect_sentiment,emotion,priority
" I must say the entire process was smooth, efficient, and pleasant. From the warm welcome by the staff to the quick and transparent account opening process, every step reflected professionalism and customer care.

I truly appreciate the bankâs commitment to customer satisfaction. The team was helpful in guiding me through the formalities, explaining the features clearly, and ensuring I felt confident and valued. It was a refreshing experience that left me both happy and impressed.

I'm genuinely glad to be a part of the IDFC FIRST Bank family and look forward to a great banking relationship ahead!",2,2,4,support,2,1,0
delivery status updated without delivery,1,1,4,fallback_support,1,0,0
order for return,1,1,7,refund,1,0,0
documents handled carefully,1,1,4,fallback_support,1,0,0
packages delivered successfully without issue,2,0,4,fallback_support,0,0,0
great,2,2,4,fallback_support,2,1,0
delivery staff soft spoken but recipient absent,1,1,4,fallback_support,1,0,0
delivery guy refused stairs pickup,1,1,4,fallback_support,1,0,0
The choice of branch could have been provided to the customer,1,1,4,fallback_support,1,0,0
ordered expensive item got cheap one,0,0,4,fallback_support,1,0,1
very bad nandanam chennai branch,0,0,4,fallback_support,0,3,2
false address update forced office pickup,0,0,4,fallback_support,1,0,1
parcel delayed and spoiled at destination hub,1,0,0,delay,0,2,2
service not available in village,0,0,4,fallback_support,1,0,1
not this watch,1,1,4,fallback_support,1,0,0
not my shipment someone used my number,1,1,4,fallback_support,1,0,0
all good but product quality not good,1,2,4,fallback_support,2,1,0
false delivered sms without receipt,1,1,4,fallback_support,1,0,0
wrong product received twice fraud,0,0,4,fallback_support,0,4,3
KYC not working RM not responsive,0,0,4,fallback_support,1,0,1
would like return this product a it not at all work please help me out reach with it,1,1,7,refund,1,0,0
very poor service delayed delivery,0,0,0,delay,0,3,2
request for low balance account option,1,1,4,fallback_support,1,0,0
nice service,2,2,4,fallback_support,2,1,0
unable receive call but delivery completed,1,1,4,support,1,0,0
Item has been changed,0,0,4,fallback_support,1,0,1
delivery partner call me even before he reach destination,1,1,4,support,1,0,0
ordered one but delivered two refused return,0,0,7,refund,0,4,3
very prompt delivery executive,2,2,4,fallback_support,2,1,0
excellent service provider package delivered within a day of placing order,2,2,4,fallback_support,2,1,0
already best,2,2,4,fallback_support,2,1,0
delivery delay again,1,0,0,delay,0,2,2
no issues during delivery,1,0,4,fallback_support,0,0,0
delivery staff did not return balance amount,0,0,7,refund,0,4,3
rude delivery guy,0,0,3,behaviour,0,3,2
top class service very polite behaviour delivery executive very knowledgeable highly satisfy with his service,2,2,3,behaviour,2,1,0
partial order received,0,0,4,fallback_support,1,0,1
received earlier than expected,1,1,4,fallback_support,1,0,0
keep moving forward,1,1,4,fallback_support,1,0,0
miss my rosemary water,1,1,4,fallback_support,1,0,0
delivery arrived without call,1,1,4,support,1,0,0
courier not received very bad,0,0,2,damage_lost,0,4,3
exact delivery time should be informed,1,1,4,fallback_support,1,0,0
very fast good service,2,2,4,fallback_support,2,1,0
ok,1,1,4,fallback_support,1,0,0
delivery charge taken despite free delivery,1,1,4,fallback_support,1,0,0
delivery smooth experience,2,2,4,fallback_support,2,1,0
no need cheaters parcel take for delivery ensure check before accept,1,1,4,fallback_support,1,0,0
average service,1,1,4,fallback_support,1,0,0
very good experience overall,2,2,4,fallback_support,2,1,0
collect my parcel at office,1,1,4,fallback_support,1,0,0
delivery person polite professional,1,1,4,fallback_support,2,0,0
not delivering at right place but marked delivered,0,0,4,fallback_support,1,0,1
service poor,0,0,4,fallback_support,0,3,2
delivery confirmation sent without actual delivery,0,0,4,fallback_support,1,0,1
delivery agent asked for OTP but did not hand over parcel,0,0,4,fallback_support,1,0,1
shipment not delivered by delivery staff,0,0,4,fallback_support,0,3,2
rude behaviour of delivery person abusive foul language use very unpleasant experience,0,0,3,behaviour,0,3,2
delivery boy rough language,1,1,4,fallback_support,1,0,0
superb fast delivery,2,2,4,fallback_support,2,1,0
best service,2,2,4,fallback_support,2,1,0
wrong item delivered customer deceived,0,0,4,fallback_support,0,3,2
yes before opening account branch staff promised visit but never came online process was smooth,1,2,4,fallback_support,2,0,0
already good,2,2,4,fallback_support,2,1,0
bad experience,0,0,4,fallback_support,0,3,2
very bad experience from blue dart,0,0,4,fallback_support,0,3,2
blue dart delayed delivery despite parcel reaching hub,0,0,0,delay,0,3,2
medicine delivery delayed false excuse,0,0,0,delay,0,3,2
tracking good delivery speed needs improvement,1,2,5,tracking,1,1,1
delivery boy harassed customer,1,1,4,fallback_support,0,0,0
delivery agent was rude aggressive and ill mannered very disappointed,0,0,3,behaviour,0,3,2
delivery boy refused home delivery forced hub pickup,0,0,4,fallback_support,1,0,1
parcel not delivered yet,0,0,0,delay,0,3,2
what we order it not come totally different it come plss take this order we want other item,0,0,4,fallback_support,1,0,1
nice product,2,2,4,fallback_support,2,1,0
very poor delivery service,0,0,4,fallback_support,0,3,2
delivery nice express good delivery,2,2,4,fallback_support,2,1,0
please give tracking update in arattai app,1,1,5,tracking,1,0,1
delivery person not confirming recipient,1,1,4,fallback_support,1,0,0
provide delivery agent contact number,1,1,4,support,1,0,0
do not receive yet,1,1,4,fallback_support,1,0,0
delivery person honest but customer absent,1,1,4,fallback_support,1,0,0
bad service no home delivery credit card delay,0,0,0,delay,0,3,2
please mention expected delivery time in message,1,1,4,fallback_support,1,0,0
parcel undelivered due to false reason premise locked,0,0,4,fallback_support,1,0,1
very long time delivery bad,0,0,4,fallback_support,0,3,2
get my parcel on time extremely happy,2,2,4,fallback_support,2,1,0
delivery partner overloaded bike issue,1,0,4,fallback_support,0,0,0
flat number missing delivered at gate,1,0,4,fallback_support,0,0,0
great quick delivery with minimal calls,2,2,4,support,2,1,0
achcha,1,1,4,fallback_support,1,0,0
item received broken,1,1,2,damage_lost,0,0,0
delivery delayed no response after first call service bad,1,0,0,delay,0,2,2
reduce minimum balance requirement,1,1,4,fallback_support,1,0,0
behaviour not good and refused to wait for change,0,0,3,behaviour,2,1,2
product unsafe not working refund or exchange,1,0,7,refund,1,0,0
product color different from what was shown,0,0,4,fallback_support,1,0,1
received different sets instead of same color sets,1,1,4,fallback_support,1,0,0
delivery person courteous,2,2,4,fallback_support,2,4,3
fake jewellery wrong product delivered,0,0,4,fallback_support,0,3,2
receive in time,2,2,4,fallback_support,2,1,0
deliver wrong product,0,0,4,fallback_support,0,3,2
poor packaging and damaged handling,0,0,2,damage_lost,0,4,3
delivery staff polite timely,1,1,4,fallback_support,2,0,0
good timely service,2,2,4,fallback_support,2,1,0
packaging was proper,1,1,4,fallback_support,1,0,0
had to go for pickup no one answered calls at godown very upsetting,0,0,4,support,1,0,1
giod,1,1,4,fallback_support,1,0,0
delivery agent was rude and unreachable during duty hours,0,0,3,behaviour,0,3,2
extra charges taken very bad service,0,0,6,pricing,0,3,2
parcel thrown inside gate unacceptable behavior,0,0,3,behaviour,1,0,2
delivery on time with proper tracking update,2,2,5,tracking,1,0,0
it good,2,2,4,fallback_support,2,1,0
delivery person damaged doorbell by continuous pressing,0,0,2,damage_lost,0,4,3
shipment falsely marked undelivered twice,0,0,4,fallback_support,1,0,1
parcel not received very sad,0,0,2,damage_lost,0,4,3
delivery agent phone numbers not reachable,1,1,4,fallback_support,1,0,0
get wrong order,0,0,4,fallback_support,0,3,2
replacement required wrong product,1,0,7,refund,0,0,0
delivery process very bad forced to collect from office,0,0,4,fallback_support,0,3,2
perform more expectation,1,1,4,fallback_support,1,0,0
refused doorstep delivery asked to cancel,1,1,4,fallback_support,1,0,0
delivery very fast satisfied,2,2,4,fallback_support,2,1,0
delivery boy polite and helpful,2,2,4,fallback_support,2,1,0
order delayed more than a day repeatedly,1,0,0,delay,0,2,2
empty box received product missing,1,0,2,damage_lost,0,0,0
wrong parcel received,1,0,4,fallback_support,0,0,0
early delivery before expected,2,2,4,fallback_support,2,1,0
everything good keep it up,2,2,4,fallback_support,2,1,0
late delivery issue,0,0,0,delay,0,3,2
fraud waste product delivered refund money,0,0,7,refund,0,4,3
very very warst quality damage,0,0,2,damage_lost,0,4,3
unknown person received parcel,1,1,1,wrong_delivery,1,0,1
thanks for call,1,2,4,support,2,1,0
no information about delivery status,1,1,5,soft_tracking,1,0,1
wrong consignee remark incorrect attempt update,0,0,4,fallback_support,0,3,2
delivery boy refused address pickup office,0,0,4,fallback_support,1,0,1
If you call I will tell you 6205637767,1,1,4,support,1,0,0
already make order delay without contact customer mark that customer not available,0,0,0,delay,0,3,2
wrong and missing products received,0,0,4,fallback_support,0,3,2
delivery guy did not call before delivery,0,0,3,behaviour,1,0,2
one of the best services,2,2,4,fallback_support,2,1,0
good,1,2,4,fallback_support,2,1,0
excellent service by delivery staff,2,2,4,fallback_support,2,1,0
wrong jersey delivered,0,0,4,fallback_support,0,3,2
delivery agent disrespectful tone,0,0,4,fallback_support,1,0,1
delivery refused home delivery forced hub pickup,0,0,4,fallback_support,1,0,1
lovely delivery person,2,2,4,fallback_support,2,1,0
it ok,1,1,4,fallback_support,1,0,0
on time delivery,2,2,4,fallback_support,2,1,0
agent did not listen properly during validation and was in a hurry,0,0,4,fallback_support,1,0,1
delivery person delivered to wrong house and asked me to collect later,0,0,1,wrong_delivery,0,3,2
delivery boy misbehaved,1,1,3,behaviour,1,0,0
always outstanding,2,2,4,fallback_support,2,1,0
awesome delivery by bluedart thank you,2,2,4,fallback_support,2,1,0
COD change required suggestion,1,1,4,fallback_support,1,0,0
different shade received,1,1,4,fallback_support,1,0,0
additionally charge extra,0,0,4,fallback_support,1,0,1
missing item in parcel box,0,0,2,damage_lost,0,4,3
good no,1,2,4,fallback_support,2,1,0
no response from delivery boy,0,0,4,support,0,3,2
polite well behaved delivery person,1,1,4,fallback_support,2,0,0
delivery agent deny deliver at home,1,1,4,fallback_support,1,0,0
please provide delivery executive contact number,1,1,4,support,1,0,0
day before delivery thank you,2,2,4,fallback_support,2,1,0
call before delivery attempt,1,1,4,support,1,0,0
delivery agent took otp but did not deliver,0,0,4,fallback_support,1,0,1
very poor delivery not delivered on time,0,0,0,delay,0,3,2
not delivere time time fasle commitment,1,1,4,fallback_support,1,0,0
nothing report,1,1,4,fallback_support,1,0,0
nobody cared about customer time extremely pathetic experience,0,0,4,fallback_support,1,0,1
from last three day your delivery agent reschedule delivery date even without ask me,1,1,4,fallback_support,1,0,0
good response,2,2,4,fallback_support,2,1,0
please return my order,1,1,7,refund,1,0,0
nice packaging and good delivery service,2,2,4,fallback_support,2,1,0
pathetic service had to collect parcel from outlet,0,0,4,fallback_support,1,0,1
saree damage,1,0,2,damage_lost,1,0,0
delivery very quick and smooth,2,2,4,fallback_support,2,1,0
delivery person did not call and product not received,0,0,2,damage_lost,0,4,3
product damaged on opening please take back,0,0,2,damage_lost,0,4,3
delivery took whole day,1,1,4,fallback_support,1,0,0
shipment prompt but one item miss in parcel,0,0,4,fallback_support,2,0,1
goo,1,1,4,fallback_support,1,0,0
wrong product receive,0,0,4,fallback_support,0,3,2
rohit yadav,1,1,4,fallback_support,1,0,0
they did not call and handed parcel to unknown person,0,0,3,behaviour,1,0,2
delivery executive behaviour was pathetic and rude,0,0,3,behaviour,0,3,2
vad quality,1,1,4,fallback_support,1,0,0
delivery boy agent good behaviour respectful blue dart service,2,2,3,behaviour,2,1,0
my courier not delivered at all,0,0,4,fallback_support,0,3,2
mobile number wrongly updated in system,1,0,4,fallback_support,0,0,0
thank you for great service example,2,2,4,fallback_support,2,1,0
learning how to use new card benefits,1,1,4,fallback_support,1,0,0
not receive my debit card yet,0,0,4,fallback_support,1,0,1
delivery update only,1,1,4,fallback_support,1,0,0
delivery staff rude payment issue humiliating behaviour,0,0,6,pricing,0,3,2
fraud courier payment concern raised,1,1,4,fallback_support,1,4,3
didnt receive my order but status shows delivered,0,0,4,fallback_support,1,0,1
have go take from hub,1,1,4,fallback_support,1,0,0
duplicate cheap product delivered fraud,0,0,4,fallback_support,1,4,3
delivery executive did not come home had to go office to collect card,0,0,4,fallback_support,1,0,1
did not receive package,0,0,2,damage_lost,0,4,3
pathetic rural delivery experience repeated false updates,0,0,4,fallback_support,1,0,1
quality poor box already opened,1,1,4,fallback_support,0,0,0
without call delivery boy humble,1,1,4,support,1,0,0
satisfied,1,1,4,fallback_support,2,1,0
merchant fraud sent wrong item affecting bluedart reputation,1,0,4,fallback_support,0,4,3
bahut jyada lal ho gya hai purana stock pack karke bhej diya hai or isme return ka option nahi hai,1,1,7,refund,1,0,0
courier person respectful,1,1,4,fallback_support,1,0,0
shipment received broken,0,0,2,damage_lost,0,4,3
amazing delivery person,1,1,4,fallback_support,1,0,0
increase service in rural punjab,1,1,4,fallback_support,1,0,0
worst service ever experienced,0,0,4,fallback_support,0,3,2
wrong product totally delivered,0,0,4,fallback_support,0,3,2
delivery on time,1,1,4,fallback_support,2,0,0
fast good service,1,2,4,fallback_support,2,1,0
delivery person very professional,2,2,4,fallback_support,2,1,0
delivery delay than given time,0,0,0,delay,0,3,2
avoid weekend deliveries suggestion,1,1,4,fallback_support,1,0,0
unknown receiver name shown,1,1,4,fallback_support,1,0,0
delivery person was very rude argued at doorstep,0,0,3,behaviour,0,3,2
delivery agent rude location handling,0,0,3,behaviour,0,3,2
fraud happened with me,0,0,4,fallback_support,1,4,3
scammed wrong product delivered refund needed,0,0,7,refund,0,4,3
blue dart known for safe quick delivery delivery staff trained and responsive,2,2,4,fallback_support,2,1,0
pathetic repeated false delivery attempts,0,0,4,fallback_support,1,0,1
delivery staff cooperative behaviour,1,1,3,behaviour,1,0,0
improve technology based services,2,2,4,fallback_support,2,1,0
good work very supportive team,2,2,4,support,2,1,0
branch staff quality needs improvement,1,1,4,fallback_support,1,0,0
very good service polite delivery person,2,2,4,fallback_support,2,1,0
good service good bihevear,2,2,4,fallback_support,2,1,0
parcel leave with gate man in different block of this complex it should deliver my flat,0,0,4,fallback_support,1,0,1
unknown person received parcel,0,0,1,wrong_delivery,0,3,2
toxic delivery behaviour forced pickup threats,0,0,3,behaviour,1,0,2
very poor service,0,0,4,fallback_support,0,3,2
delivery not done please contact me,1,1,4,support,1,0,0
wrong color received want exchange,1,0,7,refund,0,0,0
only partial order received,1,1,4,fallback_support,1,0,0
best,2,2,4,fallback_support,2,1,0
amaze person,1,1,4,fallback_support,1,0,0
mixed feedback account opening delayed,1,0,0,delay,0,2,2
it take almost two week deliver my order,0,0,4,fallback_support,1,0,1
bad perfume itna mehnga perfume isse acha fogg hai,1,0,4,fallback_support,0,0,0
received bad product,0,0,4,fallback_support,0,3,2
excellent fast delivery within one day,2,2,4,fallback_support,2,1,0
fraud different product received,0,0,4,fallback_support,1,4,3
since last few month,1,1,4,fallback_support,1,0,0
order mismatch issue,0,0,4,fallback_support,0,3,2
delivery made in my absence,1,1,4,fallback_support,1,0,0
delivery boy not doorstep village shop delivery bank card loss bad service,0,0,4,fallback_support,0,3,2
easy delivery,1,1,4,fallback_support,1,0,0
wanted to cancel order but delivery person did not contact and delivered to security guard,0,0,3,behaviour,1,0,2
promise kept,1,1,4,fallback_support,1,0,0
ahead of time delivery,2,2,4,fallback_support,2,1,0
irritating service order stuck in city no help,0,0,4,fallback_support,0,3,2
too much delay,0,0,0,delay,0,3,2
best team,2,2,4,fallback_support,2,1,0
delivered on time but no return option and customer not contacted when call failed,0,0,7,refund,1,0,0
received at location,1,1,4,fallback_support,1,0,0
delivered one day early very happy,2,2,4,fallback_support,2,1,0
yas,1,1,4,fallback_support,1,0,0
out of station reason falsely marked,0,0,4,fallback_support,1,0,1
didnt receive my parcel yet,0,0,4,fallback_support,1,0,1
u do excellent job keep it up,2,2,4,fallback_support,2,1,0
didnt receive my package,0,0,4,fallback_support,1,0,1
packaging open internal product packaging also open,1,1,4,fallback_support,1,0,0
fake refused status forced pickup,0,0,4,fallback_support,0,3,2
packaging completely different leaking product,1,1,2,damage_lost,1,0,0
provide promised delivery timeline,1,1,4,fallback_support,1,0,0
no complaints,1,1,4,support,0,3,2
prompt polite speedy delivery,2,2,4,fallback_support,2,1,0
not good delivery agent call missed marked undelivered had to collect from office,0,0,4,support,2,1,1
documents not received parcel missing,0,0,2,damage_lost,0,4,3
product fake,0,0,4,fallback_support,0,3,2
service not well,0,0,4,fallback_support,1,0,1
fake delivery update by agent,1,1,4,fallback_support,0,0,0
nice delivery,2,2,4,fallback_support,2,1,0
delivery boy very polite and on time,2,2,4,fallback_support,2,1,0
processing charge query,1,1,4,support,1,0,0
not received parcel yet,1,1,2,damage_lost,0,0,0
no word,1,1,4,fallback_support,1,0,0
bahut bekar delivery din lag gaye,1,1,4,fallback_support,1,0,0
parcel still not received,0,0,2,damage_lost,0,4,3
package damaged externally improve delivery quality,1,0,2,damage_lost,0,3,3
did not receive my parcel,0,0,2,damage_lost,0,4,3
really fast delivery,2,2,4,fallback_support,2,1,0
dint receive it,1,1,4,fallback_support,1,0,0
courier not deliver,0,0,4,fallback_support,1,0,1
most unreliable frequent delays,0,0,0,delay,0,3,2
tooo late delivery joke,0,0,0,delay,0,3,2
no one at home who accepted delivery,1,1,4,fallback_support,1,0,0
very satisfied cooperative service,2,2,4,fallback_support,2,1,0
expected delivery date not met,1,1,4,fallback_support,1,0,0
late delivery unacceptable,0,0,0,delay,0,3,2
scam product no primer received only mascara,0,0,4,fallback_support,1,4,3
Good working bank ,2,2,4,fallback_support,2,1,0
fake product delivered,1,1,4,fallback_support,0,0,0
should notify customer in every hub parcel reach,1,1,4,fallback_support,1,0,0
best courier service,2,2,4,fallback_support,2,1,0
delivery not attempted but resolved after complaint very satisfied,2,2,0,delay,0,3,2
wrong delivery updates should not be done,1,0,4,fallback_support,0,3,2
excellent service by bluedart staff,2,2,4,fallback_support,2,1,0
delivery agent did not call me,0,0,3,behaviour,1,0,2
status shows delivered but courier not received,0,0,2,damage_lost,0,4,3
trash found inside parcel box,0,0,4,fallback_support,1,0,1
delivery boy humble and polite,2,2,4,fallback_support,2,1,0
give different item support not helpful,1,1,4,support,0,0,0
good delivery,2,2,4,fallback_support,2,1,0
very late delivery with false updates,0,0,0,delay,0,3,2
please call again,1,1,4,support,1,0,0
very nice helpful delivery staff,2,2,4,fallback_support,2,1,0
delivery partner inappropriate behavior at window,1,1,3,behaviour,1,0,0
already served,1,1,4,fallback_support,1,0,0
delivery refused had to go 3km away,0,0,4,fallback_support,1,0,1
they raised failed delivery without calling,0,0,4,support,1,0,1
delivery boy refused doorstep delivery and behaved very badly,0,0,4,fallback_support,0,3,2
not deliver at my address ask come nearby,0,0,4,fallback_support,1,0,1
delivery staff talked rudely,0,0,3,behaviour,0,3,2
delivery delayed birthday gift impacted,1,0,0,delay,0,2,2
want to return parcel received wrong item,0,0,7,refund,0,4,3
not receive order pankaj not priya waiting more than week,0,0,4,fallback_support,1,2,1
delivery partner did not call and product not received,0,0,2,damage_lost,0,4,3
return option missing after order,1,0,7,refund,0,0,0
this very poor irresponsible service receive my courier after fifteen day,0,0,4,fallback_support,0,3,2
appreciate effort despite delay,2,0,0,delay,0,0,0
delivery team updated status without calling unacceptable,1,1,4,support,1,0,0
team delivered correct product to address appreciate effort,2,2,4,fallback_support,2,1,0
need return item,1,1,7,refund,1,0,0
bad experience with delivery vendor,0,0,4,fallback_support,0,3,2
good but not up to mark,1,2,4,fallback_support,2,1,0
parcel not delivered,0,0,4,fallback_support,0,3,2
she deliver at security gate,1,1,4,fallback_support,1,0,0
very poor service expected delivery by 1st oct fake update customer not available caused penalty due to delay,0,0,0,delay,0,3,2
severely damaged packaging contents spilled,0,0,2,damage_lost,0,4,3
try deliver same date when delivery status show in order,1,1,4,fallback_support,1,0,0
prompt delivery even at different address,2,2,4,fallback_support,2,1,0
defective product want return,1,1,7,refund,1,0,0
not applicable,0,0,4,fallback_support,1,0,1
delivery boy lied about attempt,0,0,4,fallback_support,1,0,1
product quality not good,0,0,4,fallback_support,2,1,1
fast delivery neutral experience,1,1,4,fallback_support,2,0,0
earbuds box scratched poor product quality,0,0,4,fallback_support,0,3,2
overselling concerns,1,1,4,fallback_support,1,2,1
good performance delivery team,2,2,4,fallback_support,2,1,0
very bad service without call and repeated delays,0,0,0,delay,0,3,2
verification required,1,1,4,fallback_support,1,0,0
order marked delivered but not received,1,1,2,damage_lost,0,0,0
staff behavior not good,0,0,3,behaviour,2,1,2
bad service coordination by logistics partner,0,0,4,fallback_support,0,3,2
poor performance failed to deliver on time and place,0,0,4,fallback_support,0,3,2
collected parcel from office no home delivery,0,0,4,fallback_support,1,0,1
no call from delivery agent forced office pickup bad service,0,0,3,behaviour,0,3,2
superb service by delivery personnel,2,2,4,fallback_support,2,1,0
wrong receiver name unprofessional,0,0,3,behaviour,0,3,2
did not get ordered book want return,0,0,7,refund,0,4,3
abc,1,1,4,fallback_support,1,0,0
wrong fake product dilevered,0,0,4,fallback_support,0,3,2
delivery details required,1,1,4,fallback_support,1,0,0
video kyc smooth secure delivery with minimal id sharing,2,2,4,fallback_support,2,1,0
online kyc process needs improvement,1,1,4,fallback_support,1,0,0
ok fragile items should not be delivered on bike,1,1,4,fallback_support,1,0,0
delivery person misled saying he arrived waited long very bad experience,0,0,4,fallback_support,0,3,2
fraud by company,1,1,4,fallback_support,1,4,3
it is not my order,0,0,1,wrong_delivery,0,3,2
passbook printing facility required at branch,1,1,4,fallback_support,1,0,0
delivery always reschedule mark consignee not available,1,1,4,fallback_support,1,0,0
continue with same spirit,1,1,4,fallback_support,1,0,0
extremely poor service courier did not deliver card at office address official complaint raised,0,0,4,support,0,3,2
wrong item delivered,1,0,4,fallback_support,0,0,0
product different from video shown,1,1,4,fallback_support,1,0,0
who abishek,1,1,4,fallback_support,1,0,0
video kyc interrupted multiple times,1,1,4,fallback_support,1,0,0
item damaged,0,0,2,damage_lost,0,4,3
delivery executive missed call no follow up,0,0,4,support,1,2,1
bad service,0,0,4,fallback_support,0,3,2
service not liked,1,1,4,fallback_support,1,0,0
wrong flip cover delivered instead of ordered product,0,0,4,fallback_support,0,3,2
prompt delivery without unnecessary calls,1,1,4,support,2,0,0
parcel delivered to wrong floor wrong person,0,0,1,wrong_delivery,0,3,2
delivery person didnt call held consignment,0,0,5,tracking,1,0,0
it is ok,1,1,4,fallback_support,1,0,0
parcel delayed despite multiple complaints,0,0,0,delay,0,3,2
delivery executive lied,0,0,4,fallback_support,1,0,1
not delivered,0,0,4,fallback_support,0,3,2
doorstep delivery no unnecessary calls satisfied,2,2,4,support,2,1,0
forced market pickup not doorstep delivery risky for bank documents,1,1,4,fallback_support,1,0,0
item not deliver,1,1,4,fallback_support,1,0,0
order delayed,0,0,0,delay,0,3,2
delivery agent called and delivered to office address,1,1,4,support,1,0,0
love product quality excellent,2,2,4,fallback_support,2,1,0
delivery person talked rudely no manners during delivery,0,0,3,behaviour,0,3,2
okay,1,1,4,fallback_support,1,0,0
delivery staff behaviour was good,2,2,3,behaviour,2,1,0
thank you service appreciated,2,2,4,fallback_support,2,1,0
quick service,2,2,4,fallback_support,2,1,0
credit card features miscommunicated,1,1,4,fallback_support,1,0,0
bad service received,0,0,4,fallback_support,0,3,2
really appreciate delivery partner patience dedication,2,2,4,fallback_support,2,1,0
item not delivered to me,0,0,4,fallback_support,0,3,2
not time delivery,1,1,4,fallback_support,1,0,0
order received safely,2,2,4,fallback_support,2,1,0
behaviour not good,0,0,3,behaviour,2,1,2
did not like product quality,0,0,4,fallback_support,1,0,1
bad experience with delivery staff cheap service,0,0,4,fallback_support,0,3,2
delivery partner demanded extra charges to deliver at my address,0,0,6,pricing,1,0,0
humble excellent service,2,2,4,fallback_support,2,1,0
size not perfect,1,2,4,fallback_support,2,0,0
best agent,1,1,4,fallback_support,1,0,0
not received any courier,0,0,2,damage_lost,0,4,3
Not proper service,0,0,4,fallback_support,1,0,1
super fast service,2,2,4,fallback_support,2,1,0
dont receive anything,1,1,4,fallback_support,1,0,0
share delivery date time in advance,1,1,4,fallback_support,1,0,0
ruthless aggressive delivery boy,0,0,4,fallback_support,1,0,1
want return my order,1,1,7,refund,1,0,0
poor internal team coordination,1,1,4,fallback_support,0,0,0
please call before delivery otherwise service superb,2,2,4,support,2,1,0
zero balance account misrepresented minimum balance demanded scam,0,0,4,fallback_support,1,4,3
good person delivery staff,2,2,4,fallback_support,2,1,0
item damaged please return this,0,0,2,damage_lost,0,4,3
no home delivery available,1,1,4,fallback_support,1,0,0
bad courier experience lifetime worst,1,0,4,fallback_support,0,0,0
delivery agent rude communication,0,0,3,behaviour,0,3,2
defective item,1,1,4,fallback_support,1,0,0
Everything looks good but no email transaction alerts received,2,2,4,fallback_support,2,1,0
