text,label
"Shagun & Akash (@juhu branch) did an excellent job.
Loved the onboarding welcome kit.",2
"A on my account they told I will get first tap stickers as well as they didn’t tell that I will not get separate card for my guardian and it’s very restrictive account, so it’s no use for us . Felt waste of time .",0
A phone call by Bank's responsible officer,0
A/C Opened 10 days completed till today not received ATM Card and no communication but still rated hope will understand and clear the issue ,0
Good job idfc bank ,2
Great,2
It seems I already have savings account opened when I want to FD amount 2 years to convert that into to NRE account it took 1-2 weeks time. The local Nuzvid branch employees were very supportive explaining the day to day update but every customer won’t be as patient as me,1
Awesome services ,2
"Minimum balance should be reduced to ₹10, 000/-.
It is affordable for middle class people to operate SBA/c.",0
"Aadhar linked mobile attached with account , provide option to add another mobile number for bank account",0
"Very good and faster resolution.
",2
Bahut hi accha bank Fast work mobile app thanks ,2
"Very good experience 
",2
"Na
",1
Aap doesn't work in lower android device ,0
"Add online joint account facility.
Should be able to open joint account irrespective of the present address, since you can take adhaar consent to self sign current address.",0
all good,2
Abhi to koi kami ni hai abhi abhi to join Kiya Hai abhi tk sab kuch achaa hai jaise sab jahg hotaa hai aage k liyee dekhte hai,0
Absolutely nothing!,2
AC opening process is very fast,2
Food,1
Account Abhi Tak nahin Chala ab sim mein batane ki problem hai,0
Account number close Karna hai ,0
Account open karaya jisase bahut achha vyavahar aur sari bate bahut saral aur spasht shabdo me batayi,2
Good,2
Acha hai bank,2
Achcha Laga,2
No,1
Nothing,1
Achha network or chalne me asani,2
My branch is 180km away from where I live. What if I need to visit to bank for cheque and any other reasons. I will have to travel to 180km from my house? That's problematic and inconvenience for me. Also it was not specified that I am getting branch that far from my house otherwise I wouldn't have opened the account. ,0
Adding option to open Select and wealth saving account online would be more beneficial and time saving for customers,0
Over all good experience ,2
Welcome kit not received ,0
Nothing ,1
"If you think that you will not face any problem from any bank in your life, then open an account in IDFC First, they provide very good service. ",2
Plzz improve online ekyc process,0
Everything was perfect the sales executive was very kind and help me in every process which saves a lot of time required to open an account.Overall it was a good experience.,2
"Excellent...
Just keep up the Good Work
",2
It’s should be in one attempt ,0
Good services ,2
Addition of nominee could not happen initially. ,0
"The executive told me to open a zero balance account. After opening, I got a message that your average balance is Rs 25,000 so I want to close this account without using your saving account services.",0
Very nice service Jai Hind,2
Good ,2
Address change process please make it fast and live.,0
Advertisement my be visible for what it's there for ,0
"Very much time consuming
 not receive checkbook and debit card, how can i operate the bank account six days enough time to send checkbook and debit card? not received till now.",0
"Agent asked to transfer the amount to the newly opened sales account through UPI, I immediately transferred ,25000 and it didn't get reflected... It was reversed to my account the next day... So was not a smooth process... Very unsatisfied ",0
"Things I felt good 
Immediate response from customer service, easy to clarify my doubts 
Overall Good banking features ",2
Agent beabiher very bad,0
Agent ka call nhi aaya ,0
"Agent needs to clearly explain that all documents that he is collecting is secure. While this was explained to me, the fact that it was made on his personal device, however secure made me bit uncomfortable. ",0
There is nothing to say. Account opening is smooth and excellent. I hope that bank will behave prompt for solving my problem if any. Thanks ,2
"Minimum balance is too high ,it is 25k lesser than that could be great , other features are great 
",2
"Agent was very polite and humble guided me to everything very politely 
",2
No,1
No,1
Please keep the processes customer friendly as was the case in opening the account.,2
Na,1
"Lack of knowledge of the banking services provided by the bank itself. Hence handling of customer are not at requirements . Result customer service is affected, and to some extent customers are unnecessary harrassed.
However atitude and behaviour of all employees of the bank is excellent only lack of knowledge of the bank services offered by the bank itself. It is due to inadequate training offered to staffs/ employees of the bank. I being a shareholder of this bank faces multiple issues while opening a Savings Bank which should be regularise immediately. 


",0
No thanks ,1
Great experience ,2
Good Service,2
Good Service,2
No... everything this is perfect.,2
I have still not received cheque book in welcome kit,0
Agents are not clear guidelines so I am not satisfied ,0
Airconditioner was not working properly.,0
no,1
Good.,2
Overall all good experience and time consuming process,2
Akash kamble ,1
All are OK.,2
No thanks ,1
Yes,1
"All clear no problem 
",2
All excellent ,2
Very nice,2
Everything is good keep it up 😊👍🏻,2
"I am impressed with your Service and the process of opening an account with  was faster. 
Giving a handout with all the types of account and the benefits of each account would have been still better. I know the agents explained it but still a leaflet would be better. thank you ",2
"All false promises, lies, and asking for otp over phone. Your relationship managers are not reliable at all. ",0
Good Experience ,2
Super ,2
Good ,2
All is fine,2
nothing else . bank representatives were humble and were ready to open account without much hassle . they were prompt and timely updates were given during account opening process,2
Nice,2
"All is gud
",2
All is ok,2
Make this account zero balance ,0
No,1
All is well,2
"Good
",2
"I tried Video KYC BUT it’s not done , it is saying I am using some proxy server and try after sometime but I tried many time and it’s been 1 week that I am trying but waste.

Please help",0
Ha,1
Very good service ,2
Good service by staff,2
All is well,2
"Best cooperation best improvement 
",2
Good bank ,2
best banking experience ,2
Good respond and Quickly opened account.,2
all is well,2
"Good service provided by your Relationship manager Rakesh kumar....
",2
"Your promote yourself as online banking but that doesnt work.
Branch doesnt allow us to open 10k MAB account 
Almost convinces us for 25k MaB account

I wanted a joint account but they made it single and the 2nd partner is not yet added 
1 week has passed 

I would have choosen other bank over this pathetic services 
",2
All is well ,2
Coordination with Sales Manager was good,2
"Account opening form submitted at branch on 5th June. Account opened at back office on 20th June. Cheque book received on 26th June. Back office service very poor. I got good response from branch.
We were already existing customers of the branch and our customer ID is there. Still so much delay in account opening.",2
"I m satisfied with bank employee 
And overall good Bank ",2
"I am very well satisfied with the services provided by ur bank. Especially, Nagendra, Chaitanya, Ajay and Vinod helped us a lot starting from account opening till the loan disbursement. ",2
excellent ,2
Your credit card verification team seems to be incompetent. They were too lazy to verify my office address and as a result my application got rejected. Thank you. ,0
Ok,1
My experience is good . And overall process of account opening is very easy reliable understandable.,2
Overall good experience ,2
No,1
All is well ,2
Very good,2
"Shubham is very good person, he's way of talking and approch was awesome.",2
All is well* very soon I will deposit the amount when l will get my salary 🙏,2
All is well....so far..!!!!,2
All good 👍 ,2
Happy Customer and you have great staff who is always ready to assist.,2
"RM not responsive, KYC not working",0
It was a great experience. ,2
As of now everything is seamless thank you ,2
Kyc agent very helpful in Chinchwad branch ,2
Nope,1
All ok,2
Good Service ,2
Good,2
"Nothing needs to be improved. You people are doing great job by providing such easy process of account opening.. Believe me, I have experienced many private and public sector banks' account opening process but the smooth process here I experienced was the first of its kind in my life. Thank you IDFC FIRST. . ",2
Excellent,2
Good experience ,2
No,1
Good service ,2
Great experience,2
"Good service
",2
"Everything was good except the kyc during 6-7pm was terrible. Call got disconnected 7-8times. I couldn't complete. Tried after 9pm it was smooth.
Also one more issue was with blue dart delivery guys attitude is too much, they are arrogant. They have sent back my debit card. Now I have to place the request again.",0
All okay..,2
Good,2
"Happy with the service provided by the Bank Executive. Account opening process was smooth🤗👍
",2
All ready ,2
All service are gud,2
All services option are available but every time I need to find this options which is applicable to me,0
All Good,2
"RUPAY debit card was primary reason for opening account. That is still NOT received,despite daily reminder to chembur branch person who opened the account. Please get it done or arrange call back.",0
Best bank I have ever opend my bank account into because you guys give the checkbook and atm as soon as we open account this is the best thing and there was no delay in opening upi because I can set my card pin in my banking that's a great feature thank you for you service and the best part this is all free that excites the people most,2
All smooth process ,2
All the process was very easy and real quick.,2
All things is fantastic.,2
Good,2
"विडिओ kyc हा प्रकार थोडा क्लिष्ट आहे प्रत्येक्षात घरी जाऊन kyc केल्यास विश्वाससाहर्ता खातेदारास आणि बँकेसाठी देखिल उपयुक्त ठरेल बदलापूर सारख्या झपाट्याने विकसित झालेल्या भागात  IDFC BANK ला बचत खात्यासाठी योग्य आणि आर्थिक सक्षम खातेदार मिळू शकतात म्हणून बदलापूर या ठिकाणी आपली ब्रांच असणे आवश्यक आहे  माझ्या सारखे कंजूमर लोण क्लियर असणारे बरेच खातेदार आपल्या बँकेत खाते उघडू शकतात त्यामुळे 
जसे आता IDFC ने कोणतंही रक्कम न घेता मला  बचत खाते उपलब्ध करून दिले त्या प्रमाणे माझ्या मागील लोण क्लियर असल्याचे स्टेटस पाहून प्री अप्रुवल लोण माझ्या सारख्या आपल्या ग्राहकास उपलब्ध करून दिल्यास मागील लोण idfc चे पाहता विना डाक्युमेंट या प्रमाणे उपलब्ध झाले  तर   मी स्वतः ही आपल्या IDFC BANK च्या बचत खात्याचे प्रचार करून आपल्या बँक साठी  खातेदार उपलब्ध करून देऊ शकतो माझ्या प्रमाणे इतर खातेदार देखील रेफरन्स देऊ शकतात 
          बचत खातेदारासाठी कोणतेही अतिरिक्त
           शुल्क न आकरता दिली जाणारी जनसेवा ।
           म्हणजे बचत खातेदारासाठी IDFC ने
           आर्थिक व्यवस्था सुधारण्यासाठी केलेली
           ही नक्कीच देशसेवा ।। आहे

 असे म्हणायला हरकत नाही 
डिजिटल युगात बचत खातेदार यांना
IDFC ने देऊ केलेल्या या सुवर्णसंधीस
       ।।मनाचा मुजरा।।
व IDFC च्या पुढील सर्व आर्थिक उपक्रमास
      त्रिष्तकोटी हार्दिक शुभकामना ।।
                   आपलाच 
          प्रशांत चंद्रकांत लासुरे
          बदलापूर
            ",1
All was well 👍,2
"In ""App"" there is no provision to update address or change address.
Bank must be instructed to your ""dispatching parcels Agent"" i.e. BlueDart if parcel not delivered then return to Home Branch not Mumbai.
",0
Good,2
Heramb is the best RM,1
Alle services its ok,1
Good ,2
My Experience is good ,2
.,1
ALOK VARDHAN ,1
"Already improved than others.. so keep it up 
",2
Excellent ,2
Ok,1
"For now, so far so good.",2
Best Service ,2
already mentioned in trail,1
"Thanku Aruna Ma'am And Piyush for your Prompt service and immediate action.
It was so easy where I was completely happy for ur service rendered with Proper Knowledge of yours ",2
Overall good experience as of now.,2
Excellent ,2
Good,2
ऑनलाईन व्हीडिओ kyc ,2
"Super
",2
Ok,1
APP is best ,2
Very Good ,2
Good working bank ,2
The staff promptness and service doesn’t leave the need for anything else ,0
All Good.,2
The arrival of debit card & welcome kit arrival is taking time. It has been 1 week since I had opened a savings account but didn't yet received welcome kit or debit card. I was told that it would take 3-4 working days to arrive.,0
Awesome service ,2
Bank so good ,2
good,2
Good customber modify bank keep try..on top tier competitive banks..,2
"Good behaviour by customer.
",2
Fast service,2
No everything is good,2
Account opening process is good provide more account types option through online.,2
Already provided insights as part of earlier questions ,2
Please give some opportunity to open zero balance account with zero maintenance ,0
"Idfc first bank is very good bank and good working app & upi payments exetra all is fine 
",2
Already said in first option in details please check.,2
Not received cheque book.,0
"No
",1
"Already submitted a detailed note in the earlier page.
To reduce turn around, please give them a complete sales training familiarising them with all Account process and little bit of exposure to entire banking functions.
Do not count on their ICICI OR HDFC or other banks sales experience. Both or all the banks can offered to waste time.",0
Good ,2
"Really loved the experience about opening the account, right from KYC verification, issuance of welcome kit and applying for Credit card. It was swift and seamless experience ",2
Always better service ,2
"verry good 
",2
Till now all good,2
Amazing experience ,2
Amazing experience ,2
"Good experience overall 
",2
Nice service idfc bank ,2
"I don't wanted to open an account but ended up opening an account because of your system. I wanted only loan not account that too 10000 mim balance. If  I have money then why should go for loan and end of the day I did't got my loan also.
Pl don't fool people by opening an account in the name of loan.
I will never ever recommend IDFC TO Anybody.
",0
Enable video kyc process ,0
Amazing Service by IDFC FIRST BANK,2
"I visited Kothapet Branch, Hyderabad with a request to convert my Savings Account to Salary Account. The staff over there guided me patiently with suitable information like what documents should be submitted. I'm pleased with the staff at the branch. And The Mobile Banking App is very quick and amazing  and I can pay directly without using other sources like Phone pay or Google pay. ",2
Ok,1
Simplifying KYC may increase completing count and reduce the time taken for the same ,2
No,1
Vishwas,1
Nice work ,2
"To carry the ATM card safely, provide an ATM card envelope in the welcome kit.",0
Good,2
"Limit  for online and offline should be calculate by system by itswlf , we ahould not assign it
",0
"Amezing 
",2
"Amount kiti thevayla have account madhe 
",0
"Very Good Experience 
Keep it up",2
Any welcome offer could have been better atleast a sovereign ,2
All Good,2
Updating the balance on WhatsApp or message on daily basis.,2
Apke exicutive v bank ki sarvis behtar hai seving me Milne wala entres bhi achchha hai khata kholne me asani Hui.,2
No,1
"The experience of opening a Savings Account with IDFC FIRST Bank was excellent. The process was smooth, quick, and user-friendly. The staff was supportive and guided me well through each step. I really appreciate the digital options and the transparency throughout. Honestly, I can’t think of anything that needs improvement—it was a seamless experience
",2
Apply personal loan,0
Good service,2
"Article JC818239671IN delivered on 12/04/2025 to Rakhi Tan. Please share delivery feedback at https://www.indiapost.gov.in/VAS/Pages/FR.aspx?TN=JC818239671IN


Not but Article no.JC81823967 IN NOT DELIVERED TODAY ",0
As of now there is nothing more to add. The entire process of onboarding a new customer is organised and smooth. The steps involved are not cumbersome and only basic information is being sought. Therefore the entire process is short and precise ,0
Nahi ,0
"As of now, none.. will let you know after thw experience! ",0
Yes,1
"As of now, nothing on the process to improve. ",2
"I am an existing IDFC First Bank Select Credit Card customer and I got an option on my IDFC First Bank app to open this zero balance savings account with auto pay option enabled for credit card repayment.

The opening of account was very quick and smooth, however, when I received the welcome kit, it only contained my Debit Card while the covering letter mentioned that it'll contain a debit card and cheque book. I initially was a little worried when I couldn't find my cheque book in the welcome kit.

Eventually, I applied for cheque book containing 10 cheques through the IDFC First Bank app also I had to upload my signature to do the same.

I'd request your concerned team to clearly mention what all actually come with the welcome kit along with a check list for future new customers of your bank. Thanks",0
Very smooth process. Overall very good experience ,2
As shared already ,1
The experience is good,2
Average balance ,1
Good ,2
Very good,2
"Ask your official to pick call, even I don’t have time to talk other than important things. Can you call me.",0
Assignment of relationship manager. ,0
Good ,2
Experience is good but I want to suggest to bank employees that please always ready for customer Services,2
"At present just account opened, time required for giving feedback.",2
Ok,1
"At the time validation the agent does not listen properly as he was in hurry

It was in my case not for everyone ",0
Atleast provide passbook,2
Good,2
ના ,1
"Very good 
Sarvis 
",2
Good ,2
"After account opening, I needed to know my nearest branch and contact number by email to know further details. Because I did with customer care service with so many options it's cumbersomic process. ",2
"Ok
",1
No - Thanks,1
ATM card passbook ,1
Very nice bank,2
The interest rates are good which was the only reason for opening the account,2
"Everything is understable so no improve needed♥️. 24×7 vkyc available what could be better than that,no other bank provide this facility as of my knowledge.",2
Audio level was poor,0
"Aur koi cheez nahi 
",0
nan,1
Nothing. It's just perfect! :),2
Avoid miss selling ,0
No. Every thing is perfectly conceived.,2
"Awesome 
But I can talk to you ",2
"I am from Srinagar and agent misguided me and opened my account in Jammu city which is useless for me.
Till date my welcome kit is wandering in jammu city and I receive messages that you were not available to receive kit.",0
Awesome experience ,2
Excellent ,2
"Good overall Staff 
",2
"Along with the process of opening an account being easy and secure, the facilities that should be provided should be provided on time. And despite having an old relationship with me, I have not received any good credit card offer till now. ",0
Excellent support from Kishan Pandey & Deepak (Manager).,2
Awesome experience ,2
when I visit city centre branch of gwalior. I wanted a future first student saving account but the employee working there tells that that don't offer such saving account but they offer pratham account so I unfortunately have to open the pratham account but I wish I could get future first student saving account. Just this is the thing which I don't like ,0
"Service is very good and staff is very cooperative.
Application is very technofriendly.",2
Yes ,1
Good,2
Awesome process ,2
Good ,2
Account opening process can be improved. Instead of bank informing me of the way out for the issue which was resulted due to poor account opening process it was me the client how had to call the customer care and narrate the whole issue to them and then still wait for the end resolution.,0
Bad experience ,0
Excellent ,2
Good experience ,2
Bad falied loans ,0
Ready to use joining kit if possible to handover in the time of account opening as per customer requirements,0
Overall experience was good for opening saving bank account. ,2
Good,2
No,1
Good service your all worker are well communication and serving best service ,2
Bahut acchi benk he ye khata kholne me bhi dikkat nahi aati oor atm bhi mil jata h jayada pareshani nahi hoti ,2
No Thank you ,2
Noo,1
Bahut acchi hai,2
"The people from the bank are very supportive. The Agent came multiple times to my office to get my work done. I like this aspect, he even bought one manager to make myself understand about the benefits and perks. Having said that I was little disappointed with Forex Card Process, the agent said I can get that card immediately after opening the account, when I went to the bank, they said you have to come before you leave to the other country. I think there is a miscommunication, but I am okay with it.",2
Good service ,2
.,1
No,1
Bahut achchih hai aap ki service ,2
"Good service by parth shah at Ghodasar branch 
",2
Video kyc error ,2
Excellent service and great staff,2
"I opened minor savings account even parent account was already active.
It took almost a week to finish the opening of account. ",0
Very poor knowledge and expertise on account opening procedure ,0
Good,2
"Overall good, fast experience and happy vth opening Savings account vth out any issues thank u for the team IDFC🙏👍",2
Bahut achha bank hai,2
Bahut hi aacha service hai ,2
"Bahut hi acchi service provide Karta Hai 
 IDFC first bank thank you so much",2
Bakwaas bank,0
Ok,1
Excellent approach and follow up by your Bank's representative,2
How can I receive my debit card?,0
"Good effort from Rahul, a staff in idfc trivandrum vellayambalam branch.",2
nan,1
The bank will have to open more branches. The branch is 39km away from my address. Although there is an HDFC branch at my address but not an IDFC branch.,0
Hiii,1
Bank ambience ,2
"Excellent services. Wanted to open account for saving purpose only where my fund lying. And there is no dr card charges , cash charges and other services free. So that's good as other private sector banks also charges for this for 10k account. ",2
Good feedback from my son ,2
"Bank employee Shubham Zende did smooth processing for ac opening.
Explained all the benefits and features",2
Online khata kholne samay bank ka branch name mansan hona chahiye ,0
Bank is expected to provide the details for customer to feel safe to invest and clear understanding of ROI without any ambiguity.,2
Good good ,2
Bank ki AAP UPI or bank ka interest सही लगा4,0
Very nice,2
V good,2
Good ,2
Bankers get open account by telling nonsense promises n unethical practices don't go for idfc bank account ,0
Dobe,1
Banking experience excellent ,2
"Ok

",1
Excellent service ,2
Good Bank service ,2
Online access and banking apps is nice,2
Kiny prlvide minimum amb maintance to 2500  rs ,1
Good,2
Najafgarh m Bank branch hona ,0
"Overall it was a good experience!!!
",2
barabar che,1
Allover good service of idfc bank ,2
Batir sarvis,0
Ease of video KYC and all the features of instant processing. Thank you so much for your team efforts. Rejoice and good luck ,2
"Be honest nd fair in your communication don't commit some thing which ur Bank.can't do
",0
be more transparent. I want to know how to close my account. I'm not doing anything and let the account die by itself.,0
Be transparent in your offers.  Else people will lose confidence in the name of your bank ,0
Good,2
"Be transparent with customers, I was told that while opening the ac you can mention the address, I did same, but still IT did not took that address . Will never use idfc ac.",0
No,1
Very nice 🤗✨,2
Ha,1
Training,0
It would be nice if there was a option for demat account ,2
Nothing ,1
"I maintain almost 4 crores of my family fund in SB/FD.
But credit card doesnot provide lounge access
as minimum transaction is stipullated
Very unfair treatment. Why should i maintain so much fund",0
Be truthful to your customers and respect their privacy by no not calling them repeatedly just to reac your targets,0
Better Communication from IDFC ,2
Better than expected ,2
Bggh bhkg,1
Good ,2
Bhavishya me benifits Milenge ,0
"Bhut achha lga HDFC bank se judne ke liy 
Thanks you HDFC bank
",2
Bov srs,1
Little app menu modification ,2
Good staff and good bank,2
Boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh boya obulesh ,1
Nhi,0
"Best service
",2
No ,1
"Again behaviour of the branch managers, and the customer ask for some clarification about the Bank name board at Dharmapuri branch",0
Build trust.  do not cheat customers,0
Need option to add current address to deliver debit card and cheque book for those who have a current address other than permanent address ,0
All good ,2
Good,2
Call me I ll let you ,0
"Overall nice service
",2
Call me will explain ,0
"The working style of the bank employee is good. Very simple language and less patience.
",2
Call me.,0
"My talk for the 6 family accounts as first wealth account and AMB for all account altogether 10 lakh. One account opend as first wealth and 2 as normal account, one account in process and process of remaining 2 yet to start. Now branch official calling us and make presuure to deposit 50 lakh first to move normal account in first wealth and use harsh word. I talk to relationship manager and get to know that he is ill. After 3 days I again call him and after knowing that he recover, tell the issue. I surprise that relationship manager balim me that i am lying. 
After this I ask him to provide contact number of brach head but the same was not provided. I left no other option but to raise the complain with customer care. After lodging the compalin I get call from branch head and he again ask for 50 Lakh overall relationship to upgrade the other family members account whereas at the time of account opening i was informed AMB 10 lakh or AUM 25 lakh or ORV 50 lakh but all official including branch head mow read this OR as AND.
I ask the branch head if so then I am not interested in maintaining the accounts and share him email send by branch official before opeing the accounts, in which he clearly mentioned that all account cumulative AMB will be 10 lakh only. Thereafter he ready to upgrade the accounts and promise to send a email in this regard but the same was still not received.",0
Change your agent will help the growth ,0
Nice service ,2
Ok fine good service ,2
Very good,2
Good service 👍🏻,2
Your bank is working very well and the 7% interest it is giving on saving  is also very good and wold encourage ,2
Close this account as soon as possiblr,0
Close your bank,0
All good,2
Overall Good,2
"improve yr staff  ability. 
",0
"So far so good!
What you are doing with Savings accounts itself is a blessing for customers like me.
I wish you immense success!!

Thank you!",2
Muje ek problem hai sird kyc nahi ho raha hai ,0
Fast service ,2
No,1
"If any particular address is not authorised to take a loan why should be the bank acnt on that address.....if loan is not possible 
",0
Communicate information clearly ,2
"hamare IDFC first bank mein hamara abhi tak KYC nahin hua KYC samne a
santusht hai",0
Good very good ,2
"Mr.Thohid has good Knowledge about accounts in banking sector...
Felt so happy and good Communication good experience overall Satisfied ",2
All good ,2
Communication is fabulous ,1
Completely satisfied nothing more ,2
"Very nice,
KYC verification is not required,
Y because all are digital verification with pan card n aadhar Card,
Video KYC is don't need i think,
All are very good.",2
"Congractuletion 
",1
Alll services are good and perfect,2
Could be that all the executives are well trained in the process,2
Courier boy scammer hai account kit address pe delivery deta nahi ,0
Transparency and clarity at its best,2
Courier se documents bhejo taki hand to hand receive ho paye,0
No iam not interested KYC update.....,0
"My KYC for the NRE account was verified and I received the new account kit. However, the account remained frozen for another 3 days, and the debit card took an additional 1–2 days to activate. It would be helpful if such delays were reduced or at least communicated more clearly in advance.

Also, I was informed by customer service that a Justice of the Peace (JP) in Australia can attest identity documents, which I followed. However, this was not clearly mentioned on the website, leading to some confusion. Updating the website with this information would improve the experience for overseas customers.",0
Good,2
"At present no improvement necessary. Bank officials are good, Shri Mallikarjun Katkam having good knowledge of banking with IDFC",2
The person who assisted me in opening the account Thiru Vetriselvan was really very good person. His service in opening the account was really very good.,2
"Actually, Everything is working great here. The only thing which I was looking for was the particular debit card variant which was missing. But, never mind… will adjust this time. Actually receiving exactly what you are expecting creates greater satisfaction which was missing in this case but other than this everything else just worked pretty well and  great!!!!!!
Thank u so much !!!",2
Current account,1
Customer care ,0
Nothing ,1
NO,1
The behavior of the bank employees is good and the relationship managers are also good-natured. They treat you like family.,2
Good,2
Customer care contact number and proper knowledge to employees ,0
Yes ,1
Customer care ir very poor quality ,0
Very good experience. Account opening process very quick. Good and professional bank representative. ,2
Excellent service ,2
Customer care number ,0
"For authentication, apart from PAN card, other IDs like Passport, Aadhar, Driving Licence or Voter ID may be allowed. If, the name on the card is with initials, the expanded name should not be treated as mismatch.",0
Great it was quite easy to understand everything ,2
Very good service ang good vehiviour,2
Hy,1
"Customer se bat ni krte
",0
"Dear IDFC Bank

I respect the bank values and responsibilities, however I am the new just joined with IDFC bank family within a week so let us more time consume with the bank customer service & etc. I don't think so any improve services as per my views.

I am very happy to service me better to reach my confidence level satisfaction within a week. 

Thank you IDFC Team 
Keep us always  

Yours  Truly 
Kamlesh",2
Debit Car feature can be enhanced and can offer more benifits,2
Hello ,1
Debited card ,0
"Delay in providing solution. Unavailability of Fast resolution mechanism. Customer care executives are inefficient, they also try to divert the issue. Please take necessary action.",0
Deposit amount so very expensive ,0
I think this is Best Bank of India.,2
Nothing ,1
Do mot send any spam or product promotion messages,0
Do not make fool to user,0
More personal attention by staff,2
"Don’t give banking service ., worst of all",0
Don't fool people just show what you can provide.,0
"Don't fool the customer with fake information, provide proper information to the customer.",0
"Good 
",2
Overall was good better you can expand your branches and cc maintainece charge is little high ,2
Thank ,1
ਨੌ,1
Don't force to be Your customer neither force for insurance ,0
No,1
Don't put More ROU,0
Don't share my contact number to anyone ,0
"Please re-check before entering names on account holder and debit card, very much disappointed as entered my name twice in both card and account ",0
Very good service ,2
This is really most upgraded system I have used in opening the account No changes required ,0
To be honest there is nothing to say overall wonderfull experience with account opening process and The relationship manager explained on clearly about the benefits of the account and sevcie ,2
Good ,2
