text,industry,sentiment,customer_intent,primary_aspect,aspect_sentiment,emotion,priority
loan against mutual fund available for one account but missing for spouse and need multiuser login in app,banking,1,5,2,1,4,0
interest rate details for personal loan should be clearly communicated,banking,1,3,2,1,4,0
passbook should be provided along with the welcome kit,banking,1,5,13,1,4,0
mobile app look and feel is not intuitive and products are hard to find for new users,banking,1,5,3,1,4,1
request to disable sms or email balance alerts due to privacy concerns,banking,1,5,13,1,4,0
process should be smoother and relationship manager should remain reachable from day one,banking,1,3,13,1,4,0
minimum balance requirement of is too high and should be reduced,banking,1,5,8,1,4,0
need more product offerings such as personal loans,banking,1,5,2,1,4,0
customer wants guidance on monthly interest payout and savings limits for students,banking,1,3,13,1,4,0
postaccountopening followups and queries are not handled properly,banking,1,5,13,1,4,0
more branches are required closer to customer locations,banking,1,5,9,1,4,1
more cashback offers should be provided on spending,banking,1,0,11,0,4,0
agent should share accurate information to avoid customers feeling cheated,banking,1,3,1,1,4,0
transparency about offers should be reflected clearly on screen,banking,1,5,11,1,4,0
branch selection should be available as an option during account opening,banking,1,5,9,1,4,1
qr code scanning device had issues while selecting account type,banking,1,1,13,0,4,0
savings account interest was the main reason for choosing the bank app usability needs improvement,banking,1,3,3,1,4,1
credit card options should be shown only if actually available to customers,banking,1,5,2,1,4,0
video kyc disconnects frequently and requires better network stability,banking,1,5,13,1,4,0
charges and limitations should be clearly communicated before account opening,banking,1,3,1,1,4,0
paylater account conflict forced physical form submission instead of online opening,banking,0,1,13,0,4,0
banking website access should be available globally,banking,1,5,13,1,4,0
branch staff availability during working hours is inconsistent,banking,0,1,9,1,4,0
rewards eligibility criteria were not explained clearly during onboarding,banking,1,3,11,1,4,0
new customers need brochures and guided onboarding support,banking,1,5,13,1,4,0
fraudulent account openings using stolen aadhaar and pan indicate weak kyc security,banking,0,1,12,0,2,3
cheque book and account details not received after account opening,banking,0,1,13,0,4,0
product knowledge among staff and senior customer service representatives is inadequate,banking,0,1,13,1,4,0
zero balance account was promised but minimum balance requirement was applied,banking,0,1,3,1,4,0
security and kyc process must be strengthened to prevent identity misuse,banking,0,1,13,1,4,0
account opening was smooth and hassle free with promise of free services but concern remains about future charges,banking,1,3,1,1,4,0
account opening process was slow and took nearly days,banking,0,1,13,1,4,0
minimum balance requirement should be reduced,banking,1,5,8,1,4,0
video kyc issues forced branch visit and caused delays,banking,0,0,9,0,4,0
better communication from the account opening branch was required,banking,1,5,9,1,4,1
address update via aadhaar was confirmed but system still shows old address causing wrong delivery,banking,0,1,13,1,4,0
panvel branch staff refused to open k minimum balance account and insisted on k variant,banking,0,1,8,0,1,3
nrenro account remained frozen for more than days without confirmation and minimum balance was not disclosed,banking,0,1,8,0,1,3
account related details should be editable through online mode instead of branch visit,banking,1,3,9,0,4,1
account activation took longer than promised,banking,0,1,13,1,4,0
maintenance charges should be reduced,banking,1,3,1,1,4,0
customer requested preapproved credit card,banking,1,5,2,1,4,0
unable to change address for receiving savings account kit,banking,0,1,13,1,4,0
physical kyc option should be available as an alternative to video kyc,banking,1,5,13,1,4,0
savings account interest rate communication is unclear,banking,0,1,10,0,1,3
welcome kit including passbook and atm card was not delivered even after two weeks,banking,0,1,7,1,4,0
funding account via cheque only should be replaced with digital options like upi or neft,banking,1,5,13,1,4,0
zero balance account option shown in app but account opened with k minimum balance,banking,0,1,3,1,4,0
branch staff is unresponsive regarding locker availability and followup,banking,0,1,9,1,4,0
i have taken a credit card from idfc first babkbut the saleswomen misguided me telling me that the credit card will have domestic airport lounge access where as upon getting the card i saw it has only railways lounge access not domestic air lounge access,banking,0,1,2,0,1,3
not receive the card,banking,0,1,13,1,4,0
not satisfied due to customer care service representative not pick the phone,banking,0,1,6,2,6,0
make branch office more airy and lively the atmosphere at branch office was dull and was looking like someone operating from godown,banking,1,5,7,1,4,0
just i faced some hiccups during video kyc process as my pan card was not getting captured properly maybe bandwidth issue just need some improvement on that regard overall process was quick,banking,1,1,13,0,4,0
an experience has been given by the branch staff that their interest was only up to the opening of account once the account opening process was done the staff who visited did not show any concern even no proper response to emails,banking,0,1,9,1,4,0
no clear intimationinformation on the categorytype of account opened no schedule of charges provided no cheque book in welcome kit no promptcommunication to upload the signature,banking,0,1,1,1,4,0
you should authenticate the details before putting them in your system,banking,1,3,13,1,4,0
if u give welcome kit by hand i can collect not by post,banking,1,5,13,1,4,0
kindly deliver debit card or welcome kit of my kid account to my permanent address of rewari haryana,banking,0,1,7,0,1,3
online facility to open joint account should be there,banking,1,5,13,1,4,0
dont force to make initial deposit for k savings account because lot off resoon will happen in customer side so give some time to deposit intional payment,banking,1,5,3,1,4,1
i am recieving calls from agents telling to maintain my minimum balancei am ready to pay the charges for not maintaing it but they are forcing me to maintain it,banking,0,1,1,0,1,3
i have received atm card but cheque book yet not received whereas in welcome letter it was mentioned cheque book in the kit,banking,0,1,7,0,4,3
kyc is to nonsense type it would be upgraded another style and address have issued for many more locations,banking,0,1,13,0,4,0
staff should mature enough to talk with customers properly they always sees there benefits,banking,0,1,11,1,4,0
for ekyc agent was required i dont think it was necessary but appreciate the effort,banking,1,5,3,2,4,1
super service good staff and increase the branches,banking,1,5,9,2,4,1
just less downtime thanks my opening experience was good,banking,1,5,13,1,6,0
after login i feel that the mobile banking app but clumpsy and have lot of options make sure look like simple and more effective way of accessing options in front,banking,1,5,3,1,4,1
plz update its balance account or not,banking,1,3,13,1,4,0
my previous banker was axis bank where i had preapproved homepersonalcar loan i wish n hope for same benefits offers with idfc too,banking,1,3,2,1,4,0
nothing more to pen down but let me know the monthly average amb is it mandatory to keep in the saving account pn daily basis pls make it clear,banking,1,5,13,1,4,0
i want to know about local branch in my home town vidisha madhya pradesh,banking,1,5,9,1,4,1
my pan card is years old and did not have a hologram in those days kyc was refused for hologram,banking,0,1,13,1,4,0
just a suggestion to increase the strength of your team it seems a lot of burden on one person make your team bigger,banking,1,5,13,1,4,0
please update new customer to welcome kit and if possible to early provide i have open may acc today may still now i m not receive any account kit like debit card cheque book,banking,0,1,7,1,4,0
your staff needs to be more professional there needs to be greater urgency in turnaround times and timeliness need to be communicated clearly and they should remain accountable lastly the biggest thing missing is proactiveness i am the one who is chasing on whatsapp and i get lame one line answers like we need to check this and then no response for the next few days until i chase again not acceptable,banking,0,1,3,2,5,0
i had already completed my kyc online everything was okay but until now i am still asked to go to the nearest branch to do it and the welcome kit is not always delivered it is always postponed,banking,0,1,9,1,4,0
i am interested in zero balance sb account,banking,1,5,8,1,4,0
the welcome kit was hightech and it was a little difficult for me a senior citizen to shut off the screen possibly printed literature could be used for accounts designated as senior citizen a debit card is issued to the joint account holder as well the joint account holder is added as a matter of convenience and is authorised to operate the account but the control has to be with the first account holder who is the owner of the account,banking,1,1,7,0,4,0
nothing specific just practice to keep some human intraction on regular basis,banking,1,5,13,1,4,0
otherwise banking service best please improve kyc process,banking,1,3,13,1,4,0
hlo good morningmy account is freezingnow i cant use my account please help me,banking,0,1,13,1,4,0
maybe a bit of instructions can be added on registering mobile banking about how to activate the debit card and help with upi registration,banking,1,3,7,1,4,0
all good give me credit card,banking,1,5,2,1,4,0
rupy credit card adding process is not good and every time asking sim versification please make this step easier,banking,0,1,2,1,1,2
service is good but mantance balance is too high please help me,banking,1,5,13,1,4,0
nothing to share except that these are wrong tactics,banking,0,1,13,1,4,0
nothing to writebut m completely disappointed with the service,banking,0,1,3,1,3,1
nothing with savings account aprove my request regarding current account with idfc,banking,1,5,13,1,4,0
please allow to change the communication address online which is mentioned over aadhaar card as currently while applying it reflects to visit the branch,banking,1,5,3,1,4,1
i was informed if i put my cc bill payment auto pay then i will get zero balance account with all the services free but it is not such i have a thing in app states it is regular k account so i am not happy with it and if it is so then i do not need it,banking,0,1,3,2,5,0
account opening took about more than days also after opening my residence address is different from submitted address proof seriously there is no proper verification of documents by idfc team due to this difference in address my account is frozen,banking,0,1,13,1,4,0
ochha viyaj per lone apo salary account ni su vidha rakho,banking,1,5,13,1,4,0
proactive support which is missing,banking,0,1,13,1,4,0
offer customers more choices not just basic account,banking,1,5,11,1,4,0
call me and close my account it was mentioned its zero bal account now i saw it has some maintenance avg bal,banking,0,1,13,1,4,0
i dont know why every bank is so keen to offer savings accounts what special you guys are giving or other any bank bank its just a game of using someone elses money to provide loan to someone you guys are also doing the same on the name of maintenance need to keep k all the time so you guys can use for yourself,banking,0,1,2,0,1,3
bank employees are misleading earlier they approached they were not aware about offer of bank even after sharing screenshot they have shown there we unawareness i want to open child bank account for that this account was open on bank website minor bank account is of zero balance but they were giving false info really not happy with response of bank,banking,0,1,3,2,5,0
online ac khe kam me lu,banking,1,5,13,1,4,0
online application verification of documents do get notary sign can be eliminated will make faster submission of application for approval,banking,1,3,3,2,4,1
online fd close options,banking,1,5,13,1,4,0
only the online video call,banking,1,5,13,1,4,0
the agent who helps fill the form and collects the necessary documents should have better knowledge,banking,1,5,13,1,4,0
should have been debit card upgrade options as i wanted visa platinum there should have been some options even if its charges for upgrade other than everything is flawless,banking,1,3,7,1,4,0
welcome kit ke sath bank passbook bhi customer ko dena chahiye,banking,1,5,13,1,4,0
need pre approved credit card and loans need to be added based on account savings,banking,1,5,2,1,4,0
your service is good your agent given the right information but website to very disappointed,banking,1,3,3,2,3,1
address that in my credit card is different and address came in are different but the agent is not even considering this he put pressure to do quick with out even considering my query,banking,0,1,2,1,4,0
my first experience has not been very bad as my welcome kit package has been couriered to the aadhar address without asking me my communication address now this package is returned back to the origin by blue dart on shippers request while it should have been scheduled to my current address as its not too far away from my aadhar address on the other hand i have tried many times to update my current address on idfc app so its not allowing me do so i have even tried many times to connect to your executive over customer care number but it has not been possible to connect to any executive as ivr is not providing any t option to do so so plz arrange a call back to me to discuss further more regarding solution against this issue,banking,0,1,3,0,4,0
ekyc should be arranged for sr citizen like me at home through your agent,banking,1,5,13,1,4,0
i would like to be honest i opened an account to get a personal loan but my cit is not serviceable hope i will get the services soon overall the account opening process was very quick and easy the customer care executive was very kind and polite towards guiding through the kyc process thank you idfc first bank i will highly recommend my family and friends to open an account in idfc first bank,banking,2,2,2,1,6,0
please ask your employer to be more polite in the branch and ask them to provide right information before opening the account,banking,1,3,9,2,4,1
despite more than a week the welcome kit is still not being delivered the blue dart courier partner service is so disappointing,banking,0,0,3,1,3,1
the communication between offline branch executive zero balance ac information displayed on the app conflicts same with your online customercare agents as well,banking,0,1,3,1,4,0
approval of opening account must be more fast by the higher authorities other than the branch they should take hours instead of days for approvalverification and authorization thanx rgds for giving me this opportunity to reflect my views,banking,1,5,3,2,4,1
i have opened account with the promotional link of zero monthly balance account for credit card autopay on mobile app but after opening the account i came to know that it is opened as a default k monthly average balance account i wanted a zero monthly average balance maintainance account for setting autopay on my idfc credit card bill i visited couple of branches for this concern but didnt get any solution instead they want me to connect with the customer care what kind of work is done in branch if the branch is not able to resolve customer queries,banking,0,1,2,1,4,0
paper less service awesome faster smooth shaper smarter better then other bank bt i dont like the yours courier partner service,banking,1,5,13,1,5,0
pass book not received,banking,0,1,13,0,4,0
there should be tat for new account openning,banking,1,5,13,1,4,0
poor service,banking,0,1,13,0,4,0
passbook ki request ki thi aapke worker se hai please with photo passbook dene ki kripa karen,banking,1,5,13,1,4,0
pathetic backend objections,banking,0,1,13,0,0,2
pathetic worst experience by idfc,banking,0,1,13,0,0,2
personalised communication,banking,1,5,13,1,4,0
phone pey is nothing connected in my mobile ph so please do something,banking,0,1,13,1,4,0
kyc people seems incompetent they were asking me dont even look any other place apart as if i am brainless also person was very rude he was asking me to say yes in whatever question he is asking and all nonsense questions he was asking and the most horrible part was after torturing me he said we cant process with your kyc please try again,banking,0,1,13,0,0,2
account system update on mobile banking app clearly,banking,1,3,3,1,4,1
please increase idfc branches all india,banking,1,5,9,1,4,1
physical chewue needed instead of online funding,banking,1,5,13,1,4,0
india is lacking skilled labor this is true at idfc bank as well the person at barakhamba branch with surname jha who opened my account on his mobile did a huge mistake he selected barabanki instead of barakhamba and opened the account and on pointing his mistake i choosed to close the account right away if such people cant do their job properly why they are doing it then it is the loss of bank only i should have kept the account if it would have been barakhamba branch and now my money is not with idfc bank and even my referrals are not for idfc bank now i felt threatened while interactig with jha that day because i pointed out his huge mistake and he wanted me to leave the bank asap as i was sitting there and waiting to talk to some senior about it bank should hire people via strict vetting as business may go coz of such experience,banking,0,0,9,1,0,2
account opening form partially filled by the agent and i just filled my aadhar card and pan card keeping this thing in mind that the branch allocation is already as per my requirement but the account was open in different branch and i am not satisfied at all,banking,0,1,9,2,6,0
after transaction its should not came please check your network connection please try again after sometime this should be corrected,banking,1,3,13,1,4,0
zero balance,banking,1,5,8,1,4,0
pl close saving account plopen my nre account,banking,0,1,13,1,4,0
pl take care give preference to senior citizen whether dealing with saving ac or other txn,banking,1,5,13,1,4,0
please allow to pay bharat qr code or change to visas or replace with other visa networks card,banking,1,5,13,1,4,0
insurance coverage with a debit card airport lounge facility etc,banking,1,5,7,1,4,0
please be transparent in your activities and keep customer informed,banking,1,5,13,1,4,0
please call me check book passbook and atm please call me contact now,banking,0,1,7,1,4,0
please cancel this account sir i dont need this account please cancel this account,banking,0,1,13,1,4,0
relationship manager or branch representative should contact customer and brief about benifits and services after opening account which done through online mode atleast,banking,1,5,9,1,4,1
please close my account,banking,0,1,13,1,4,0
please close my bank account connected to this phone number,banking,0,1,13,1,4,0
if account is open with huge amount at first stage against your minimum balance amount the part of the commission to be paid to concerns must be avail to clients who have created amount more than minimum requirements of bank,banking,1,5,8,1,4,0
please close this account in online process,banking,0,1,13,1,4,0
please consider customers feedback,banking,1,5,1,1,4,0
please contact customer personally,banking,1,5,13,1,4,0
i consider free of service charge fee,banking,1,5,1,1,4,0
please do provide fast and secure server and service,banking,1,5,13,1,4,0
please do understand the needs of customers properly and clearly,banking,1,5,13,1,4,0
the app mentioned as zero balance account the email confirmation i received is for a different account idfc is cheating customers,banking,0,1,3,1,4,0
please dont send the message if the transaction amount is below rupees,banking,1,5,13,1,4,0
please done your work on time,banking,1,5,13,1,4,0
account kyc,banking,1,5,13,1,4,0
i strongly suggest to give option to choose desired branch dont just assign by automated system people have various needs while choosing the branch please consider this,banking,1,5,9,1,4,1
pls take immediate action against the fraud misguiding misleading mischievous agent relationship manager mr sudheer of bangalore basavanagudi branch so that he doesnt make the same mistake with the other customers as he did to me,banking,0,1,12,0,2,3
please fix the technical issue so that a customer can open hiher account from the comfort of their home,banking,1,1,3,0,4,1
customer welcome should be yours first priority,banking,1,5,13,1,4,0
you should improved or expand your services in more pincode like in rural area and urban area also,banking,1,5,13,1,4,0
please improvise giving details about the accounts specifications and also give option to see the benefits of the account in mobile application,banking,1,3,3,1,4,1
please inform me about the age limit for the personal loan,banking,1,3,2,1,4,0
when you recruit banking staffs ensure that they knew the offers and options in the account,banking,1,3,11,1,4,0
please listen to customer and dont tell lies,banking,0,1,13,1,4,0
kindly try to reduce the minimum balance amount as a part of savings account,banking,1,5,8,1,4,0
please provide cheque book,banking,1,5,13,1,4,0
please make available individual current account,banking,1,5,13,1,4,0
please provide loan,banking,1,5,2,1,4,0
please provide upi transaction id in messages,banking,1,5,13,1,4,0
so far we have not received our welcome kit of our joint nro account number so please send it immediately at our address cork drivewest chesterohiounited states of americaso that we can update our bank account with lic of indiafor getting our pension regularlythanking you in anticipation,banking,0,1,13,0,4,0
please stop spreading lies to the customer,banking,0,1,13,1,4,0
its my first experience i have take some time but i advice my bank minimum balance reducing its support to all class people can open acount in our bank,banking,1,5,8,1,4,0
please transaction limit increase,banking,1,3,13,1,4,0
we just need a good relationship with and services like higher credit card limit and other benefits,banking,1,3,2,1,4,0
user to be provided with an option of selecting the nearest bank branch of home address rather than the main branch of a city,banking,1,5,9,1,4,1
video kyc was interupted multiple times kindly check on that,banking,0,1,13,1,1,1
please update my account type to the one i selected,banking,1,3,13,1,4,0
just stop scamming people on the basis of loan amount disbursal and account opening to get the loan amount,banking,0,1,12,0,2,3
yes sure i am living currently in bangladesh for sometime due to my job due to this i am not able to complete my video kyc please guide me how i can complete kyc i have also written mail to my rm but he didnt replied,banking,0,1,13,1,4,0
the mobile app needs to be transparent and user friendly many features simply dont function at all,banking,0,1,3,1,4,0
pls give personal loan,banking,1,5,2,1,4,0
plz correct my communication address,banking,1,5,13,1,4,0
mujhe is bank per account kholne per bahut hi achcha laga ki maine online account khola aur mujhe atm check book mil gaya aur apna credit card milane ka ummid hai isiliye main apne bank se aur ummid karta hun yah meri credit score badhane mein madad karegi okay thank u,banking,2,1,2,0,4,0
no bank employee was available after opening of account,banking,0,1,13,1,4,0
if possible there should be an option to add an email id in upi for better communication and verification also having a display picture dp option in the profile would be helpful for personalization and easier identification overall netbanking app is very good easy to use,banking,2,2,3,2,6,0
you should not set the limit to per month it is everytime keep in our head that we hv to maintain the balanece it should be k,banking,0,1,13,1,4,0
plz courier service bed,banking,0,1,13,1,4,0
plzz dont cheat your customers,banking,0,1,13,1,4,0
post me passbook bhi add kare,banking,1,5,13,1,4,0
please simplify kyc verification with some clicks,banking,1,5,13,1,4,0
kyc kyc hindi english,banking,1,5,13,1,4,0
pramotional call many more so that worried us from open account to till please stop promotional calls asap,banking,0,1,11,1,4,0
opening of joint saving account process is very long it should be shorten,banking,0,1,13,1,4,0
you staff is not proactive in responding to queries of clients and this needs to be changed immediately you need more professional staff,banking,0,1,13,1,4,0
atm not available at your home branch,banking,0,1,7,0,1,3
worst customer service everyt time my service agent is busy on another call and it took times to complete video kyc and it is still in under process,banking,0,1,13,0,0,2
proper communication with the clients from the relationship manager or agent,banking,1,5,13,1,4,0
everything is absolutely fantastic here the problem is i am an idfc credit card user since last to months after using that i prefer a savings account in it for preapproved credit card and loan offers but theres nothing to me thats a little bit concern about the bank it doesnt give any pre approved credit card offers,banking,1,1,2,0,5,0
provide right information all customer,banking,1,3,13,1,4,0
account opening bilkul acha h koi issue nhi aaya lakin netbanking very bad,banking,0,1,13,0,4,0
please keep responsible people at call centre and branch kollam branch ppl did not even call me worst customer experience,banking,0,1,9,0,0,2
provide lounge benefits in debit card,banking,1,5,7,1,4,0
request earliest delevery of saving kit idfc,banking,0,1,13,1,4,0
minimum balance of the account may be decreased,banking,1,5,8,1,4,0
apko customer service me sab badiya hai lekin apko welcome kit me passbook bhi deni chahiye,banking,1,1,13,0,4,0
not get properly answer from bhavnagar branch about saving account features,banking,0,1,9,1,4,0
need credit card facility also,banking,1,5,2,1,4,0
you should inform the offer in the sms or email for eg i have open my account with zero balance mab by having offer in my app,banking,1,5,3,1,4,1
any new request should be iniatiated same day not in or days the bank took my documents for activating forex card request today but i havent received any acknowledgement,banking,0,1,13,1,4,0
they were not having good connection,banking,0,1,13,1,4,0
over all i called customer care and opened online after failed through vijayawada braccount executive i had bitter with them i never open any account with your bank but after followed by your customer care i have opened an savings account and i have to open current account also in future iay open at hyd not at vijayawada i dont want visit that branch current account mgr so frankly i given bitter expwith your executives,banking,0,1,6,0,4,0
minimum balance requirement should be mentioned in the account details,banking,1,3,8,1,4,0
false communication about minimum balance by the bank executive kindly close the account,banking,0,1,8,0,1,3
your staff is not helpful i wanted a passbook at branch but they are not giving,banking,0,1,9,2,4,0
i regret to say that i have choose idfc for my nri account its been more than a month but i still dont have a my account functioning though i got my bank account details after a month of followup it doesnt even work not able to register to internet banking mobile banking then why the hell i got this account one of the bad choice of mine in choosing idfc considering the options i have,banking,0,1,13,0,3,1
save time more facility clearty,banking,1,5,13,1,4,0
saving account amount high,banking,1,5,13,1,4,0
please do start video kyc in regional languages also,banking,1,5,13,1,4,0
improve your organization culture train your frontline staff on international documentation and verification process do a systems gap assessment and find improvement opportunities shunt the members with ego and attitude to backend processes or kick them out from bank,banking,0,1,13,1,4,0
clear communication missing tried to change the branch transfer no luck welcome kit dispatch not received tried to avail car loan no luck its a horrible experience i never recommend to my network with this kind of experience,banking,0,1,2,0,0,3
secure documents scanned by agent device im not sure if photos taken from agent devices are secure,banking,1,5,13,1,4,0
for video kyc process assign someone who knows local language like bengali,banking,1,3,13,1,4,0
usually all banks offers quick service for opening account through all branches and after immediate verification account kit and cards delivers physically overall time taken o open account is very high,banking,0,1,11,1,4,0
selected number se account ko open karwana,banking,1,5,13,1,4,0
sending of atm card to communication adress as requested by customer,banking,1,5,7,1,4,0
it was seam less process although do make it permanently zero balance account as i already hold multiple accounts also i did not see a feature on app for sb closing hope closing can also be done online also can u provide a lounge access if fd are maintained or we can purchase lounge access and easily activate the same at a discount before the flight,banking,1,3,3,1,4,1
try to add more rewarding scheme on account variant like cashback offers for debit card uses bms offers also introduce a lower variant account for the people who cant meet the mab,banking,1,5,7,1,4,0
i asked for a senior person to contact me so i can give detailed feedback but no one called surveys are useless if you dont followup with the customer,banking,0,1,1,0,1,3
i have opened account as i got an offer of zero balance account with autopay in my credit card and then i used your services and now im recommend others to open bank account with idfc so i would request you to offer more zero balance account and let customer experience your services facilities first word of mouth is the most effective sale tactics,banking,2,6,2,1,4,0
totally disappointed act peed or ake of loa but after opening act loan disbursement didnt happen and sales team were apologising for same i would like to close the account permanently which is of no use to me,banking,0,1,2,0,3,3
experience in account opening was good but what next no communication from bank,banking,0,1,13,1,4,0
strange the no telephonic call received for discussion with idfc first team about account benefits my account was with option of zero balance but strange that nowhere this is mentioned please send a printed communication confirming that,banking,1,5,8,1,4,0
simplify the process,banking,1,3,13,1,4,0
sir mene aapke bank se loan liya tha usko mene kuch presaniyo ke chalte satel kraya tha magar me us loan ko kisi din pura chuka bank jake,banking,1,5,2,1,4,0
a detailed briefing on the availability of services and advantages of idfc in maintaining a high mab,banking,1,5,13,1,4,0
sir mene act khola lekin reward points ka bataya vo nahi mila or atm se use kiya usme reward points nahi mila offer h bevkuf banate ho call mi urgent,banking,0,1,7,0,1,3
please improve your whatsapp banking,banking,1,5,3,1,4,1
why did the credit card application get rejected,banking,1,3,2,1,4,0
after working days of video kyc i did mobile banking login first time where i am seeing my kyc is not completed successful and account on freez and i need to go nearset branch i dont want to continue with such a problematic bank,banking,0,1,9,0,4,0
my account was open on physical firm ms snehal kakde was handling it form was submitted on april with a cheque of lakh the account was opened on april for online transaction wrong account number was shared cheque clearance information was false employee was unprofessional no apology from bank worst service,banking,0,1,13,0,0,2
there should be mechanism for video kyc to accept epan as well because the person didnt accept we have to visit the nearest branch for the kyc,banking,1,5,9,1,4,1
if you can provide airport lounge access with debit and credit card without spend criteria,banking,1,5,2,1,4,0
at the time of opening of the account and credit to the fdr accounts all bank have nice attitude we have to see how much bank remains the same,banking,1,3,2,1,4,0
solve complaints on time and fast,banking,1,1,6,0,4,1
some time server issue,banking,1,1,13,0,4,0
online kyc video calling sound quality is not crystal clear,banking,1,5,13,1,4,0
stick on the commitment else dont give commitments,banking,1,5,13,1,4,0
every thing is good please keep privacy security related issue always,banking,1,1,13,0,4,0
still account is on total freeze,banking,0,1,13,1,4,0
lounge facilities provided by idfc debit card is not accepted in many lounge it should be acceptable by at least one lounge in any terminal bengaluru t terminal doesnt have any lounge which give access to idfc debit card,banking,0,1,7,0,1,3
still not working after almost two weeks failed to even transfer money into my nro acct and the overall process is not clear,banking,0,0,13,0,4,0
jyada se jyada atm and branch kholna,banking,1,5,7,1,4,0
cut down minimum balance amount this will attract more customers present amount is high and cannot afford some customers moreover interest rate on minimum balance amount is saving interest,banking,1,3,8,1,4,0
